CREATING ENVIRONMENT
CREATING DQN
alpha: 0.0001, gamma: 0.5, batch size: 50.

Episode: 0
Day 0, reward 0
WARNING:absl:Found untraced functions such as _update_step_xla while saving (showing 1 of 1). These functions will not be directly callable after loading.
Day 1, reward -22.0
Day 2, reward -322.0
Day 3, reward -2002.0
Day 4, reward -2722.0
Day 5, reward -2182.0
Day 6, reward -5624.0
Day 7, reward -5864.0
Day 8, reward -3584.0
Day 9, reward -1560.0
Day 10, reward -3071.0
Day 11, reward -1746.0
Day 12, reward -3360.0
Day 13, reward -1980.0
Day 14, reward -4020.0
Day 15, reward -2193.0
Day 16, reward -3491.0
Day 17, reward -2122.0
Day 18, reward -1533.0
Day 19, reward -1800.0
Day 20, reward -1980.0
Day 21, reward -1740.0
Day 22, reward -2471.0
Day 23, reward -3802.0
Day 24, reward -2520.0
Day 25, reward -2613.0
Day 26, reward -1582.0
Day 27, reward -1773.0
Day 28, reward -2040.0
Day 29, reward -2591.0
Day 30, reward -1882.0
Day 31, reward -3622.0
Day 32, reward -1844.0
Day 33, reward -2842.0
Day 34, reward -611.0
Day 35, reward -2700.0
Day 36, reward -671.0
Day 37, reward -1991.0
Day 38, reward -1282.0
Day 39, reward -2580.0
Day 40, reward -1080.0
Day 41, reward -3164.0
Day 42, reward -1511.0
Day 43, reward -2771.0
Day 44, reward -1713.0
Day 45, reward -2351.0
Day 46, reward -1380.0
Day 47, reward -1451.0
Day 48, reward -2346.0
Day 49, reward -1800.0
Day 50, reward -1882.0
Day 51, reward -2040.0
Day 52, reward -1140.0
Day 53, reward -1631.0
Day 54, reward -1560.0
Day 55, reward -1380.0
Day 56, reward -3153.0
Day 57, reward -2220.0
Day 58, reward -1522.0
Day 59, reward -1931.0
Day 60, reward -2651.0
Day 61, reward -1151.0
Day 62, reward -2520.0
Day 63, reward -1691.0
Day 64, reward -2542.0
Day 65, reward -1980.0
Day 66, reward -2460.0
Day 67, reward -2051.0
Day 68, reward -2280.0
Day 69, reward -1800.0
Day 70, reward -1582.0
Day 71, reward -2760.0
Day 72, reward -2242.0
Day 73, reward -2002.0
Day 74, reward -1320.0
Day 75, reward -1440.0
Day 76, reward -1931.0
Day 77, reward -1020.0
Day 78, reward -2760.0
Day 79, reward -2640.0
Day 80, reward -2362.0
Day 81, reward -2493.0
Day 82, reward -2891.0
Day 83, reward -2951.0
Day 84, reward -2411.0
Day 85, reward -2782.0
Day 86, reward -2651.0
Day 87, reward -2400.0
Day 88, reward -2722.0
Day 89, reward -2662.0
Day 90, reward -1680.0
Day 91, reward -3011.0
Day 92, reward -3540.0
Day 93, reward -2280.0
Day 94, reward -2291.0
Day 95, reward -2111.0
Day 96, reward -2340.0
