CREATING ENVIRONMENT
CREATING DQN
alpha: 0.001, gamma: 0.99, batch size: 50.

Episode: 0
Day 0, reward -1627.0
Day 1, reward -1661.0
Day 2, reward -1422.0
Day 3, reward -2950.0
Day 4, reward -5678.0
Day 5, reward -350.0
Day 6, reward -2325.0
Day 7, reward -266.0
Day 8, reward -3568.0
Day 9, reward -2254.0
Day 10, reward -1511.0
Day 11, reward -2326.0
Day 12, reward -483.0
Day 13, reward -2530.0
Day 14, reward -2374.0
Day 15, reward -3995.0
Day 16, reward -3792.0
Day 17, reward -3206.0
Day 18, reward -2646.0
Day 19, reward -423.0
Day 20, reward -323.0
Day 21, reward -2869.0
Day 22, reward -3432.0
Day 23, reward -4347.0
Day 24, reward -2883.0
Day 25, reward -2573.0
Day 26, reward -1305.0
Day 27, reward -2752.0
Day 28, reward -4580.0
Day 29, reward -8308.0
Day 30, reward -5476.0
Day 31, reward -3398.0
Day 32, reward -3317.0
Day 33, reward -1116.0
Day 34, reward -1430.0
Day 35, reward -2722.0
Day 36, reward -4157.0
Day 37, reward -1867.0
Day 38, reward -2804.0
Day 39, reward -1111.0
Day 40, reward -1016.0
Day 41, reward -903.0
Day 42, reward -2580.0
Day 43, reward -4979.0
Day 44, reward -1726.0
Day 45, reward -3606.0
Day 46, reward -3322.0
Day 47, reward -1464.0
Day 48, reward -2457.0
Day 49, reward -2410.0
Day 50, reward -5627.0
Day 51, reward -1786.0
Day 52, reward -5067.0
Day 53, reward -2931.0
Day 54, reward -1404.0
Day 55, reward -2910.0
Day 56, reward -94.0
Day 57, reward -3999.0
Day 58, reward -2291.0
Day 59, reward -4268.0
Day 60, reward -5012.0
Day 61, reward -783.0
Day 62, reward -1124.0
Day 63, reward -2524.0
Day 64, reward -5417.0
Day 65, reward -3358.0
Day 66, reward -6439.0
Day 67, reward -3338.0
Day 68, reward -1811.0
Day 69, reward -1236.0
Day 70, reward -1909.0
Day 71, reward -2721.0
Day 72, reward -2151.0
Day 73, reward -3712.0
Day 74, reward -1502.0
Day 75, reward -1322.0
Day 76, reward -787.0
Day 77, reward -3554.0
Day 78, reward -5534.0
Day 79, reward -5054.0
Day 80, reward -5802.0
Day 81, reward -5096.0
Day 82, reward -1737.0
Day 83, reward -2763.0
Day 84, reward -2033.0
Day 85, reward -7570.0
Day 86, reward -2522.0
Day 87, reward -2607.0
Day 88, reward -467.0
Day 89, reward -725.0
Day 90, reward -1218.0
Day 91, reward -3694.0
Day 92, reward -5853.0
Day 93, reward -1861.0
Day 94, reward -3745.0
Day 95, reward -2301.0
Day 96, reward -2200.0
Day 97, reward -1600.0
Day 98, reward -3657.0
Day 99, reward -6093.0
Day 100, reward -3250.0
Day 101, reward -5332.0
Day 102, reward -2400.0
Day 103, reward -2289.0
Day 104, reward -613.0
Day 105, reward -2883.0
Day 106, reward -4377.0
Day 107, reward -3869.0
Day 108, reward -5329.0
Day 109, reward -1442.0
Day 110, reward -3500.0
Day 111, reward -1350.0
Day 112, reward -2633.0
Day 113, reward -2750.0
Day 114, reward -8305.0
Day 115, reward -5915.0
Day 116, reward -3610.0
Day 117, reward -1732.0
Day 118, reward -1611.0
Day 119, reward -5520.0
Day 120, reward -3100.0
Day 121, reward -4920.0
Day 122, reward -3125.0
Day 123, reward -3747.0
Day 124, reward -3268.0
Day 125, reward -2061.0
Day 126, reward -6734.0
Day 127, reward -3300.0
Day 128, reward -1710.0
Day 129, reward -2265.0
Day 130, reward -2289.0
Day 131, reward -570.0
Day 132, reward -1150.0
Day 133, reward -2215.0
Day 134, reward -338.0
Day 135, reward -2540.0
Day 136, reward -2299.0
Day 137, reward -2701.0
Day 138, reward -691.0
Day 139, reward -204.0
Day 140, reward -906.0
Day 141, reward -2411.0
Day 142, reward -3476.0
Day 143, reward -4255.0
Day 144, reward -10200.0
Day 145, reward -2511.0
Day 146, reward -807.0
Day 147, reward -1500.0
Day 148, reward -4274.0
Day 149, reward -1565.0
Day 150, reward -3200.0
Day 151, reward -2521.0
Day 152, reward -450.0
Day 153, reward -1690.0
Day 154, reward -1450.0
Day 155, reward -5348.0
Day 156, reward -2783.0
Day 157, reward -3159.0
Day 158, reward -1016.0
Day 159, reward -1330.0
Day 160, reward -1567.0
Day 161, reward -2050.0
Day 162, reward -4330.0
Day 163, reward -1072.0
Day 164, reward -4549.0
Day 165, reward -1345.0
Day 166, reward -2158.0
Day 167, reward -833.0
Day 168, reward -3810.0
Day 169, reward -6601.0
Day 170, reward -3980.0
Day 171, reward -5019.0
Day 172, reward -1350.0
Day 173, reward -2913.0
Day 174, reward 0.0
Day 175, reward -4124.0
Day 176, reward -4132.0
Day 177, reward -4418.0
Day 178, reward -4643.0
Day 179, reward -1500.0
Day 180, reward -1325.0
Day 181, reward -1061.0
Day 182, reward -2885.0
Day 183, reward -3628.0
Day 184, reward -5205.0
Day 185, reward -8612.0
Day 186, reward -3850.0
Day 187, reward -4510.0
Day 188, reward -1400.0
