cuda
Start training
Train Epoch: 1 	Train_loss: 2.0771 	Train_acc: 13.64
	Val_loss: 2.0668 	Val_acc: 7.79
Train Epoch: 2 	Train_loss: 2.0218 	Train_acc: 18.11
	Val_loss: 2.0496 	Val_acc: 5.17
Train Epoch: 3 	Train_loss: 1.9509 	Train_acc: 21.66
	Val_loss: 2.0136 	Val_acc: 7.54
Train Epoch: 4 	Train_loss: 1.9009 	Train_acc: 23.74
	Val_loss: 2.0013 	Val_acc: 13.39
Train Epoch: 5 	Train_loss: 1.8655 	Train_acc: 25.13
	Val_loss: 1.9913 	Val_acc: 14.94
Train Epoch: 6 	Train_loss: 1.8384 	Train_acc: 26.10
	Val_loss: 1.9806 	Val_acc: 17.65
Train Epoch: 7 	Train_loss: 1.8170 	Train_acc: 26.98
	Val_loss: 1.9855 	Val_acc: 7.24
Train Epoch: 8 	Train_loss: 1.7999 	Train_acc: 27.55
	Val_loss: 1.9744 	Val_acc: 13.99
Train Epoch: 9 	Train_loss: 1.7868 	Train_acc: 28.05
	Val_loss: 1.9787 	Val_acc: 10.20
Train Epoch: 10 	Train_loss: 1.7742 	Train_acc: 28.40
	Val_loss: 1.9696 	Val_acc: 8.17
Train Epoch: 11 	Train_loss: 1.7645 	Train_acc: 28.70
	Val_loss: 1.9640 	Val_acc: 10.42
Train Epoch: 12 	Train_loss: 1.7534 	Train_acc: 29.17
	Val_loss: 1.9685 	Val_acc: 7.38
Train Epoch: 13 	Train_loss: 1.7457 	Train_acc: 29.43
	Val_loss: 1.9803 	Val_acc: 6.94
Train Epoch: 14 	Train_loss: 1.7386 	Train_acc: 29.63
	Val_loss: 1.9828 	Val_acc: 8.40
Train Epoch: 15 	Train_loss: 1.7340 	Train_acc: 29.76
	Val_loss: 1.9852 	Val_acc: 9.45
Train Epoch: 16 	Train_loss: 1.7279 	Train_acc: 29.93
	Val_loss: 1.9414 	Val_acc: 14.82
Train Epoch: 17 	Train_loss: 1.7230 	Train_acc: 30.18
	Val_loss: 1.9732 	Val_acc: 6.15
Train Epoch: 18 	Train_loss: 1.7168 	Train_acc: 30.40
	Val_loss: 1.9878 	Val_acc: 6.16
Train Epoch: 19 	Train_loss: 1.7130 	Train_acc: 30.49
	Val_loss: 1.9628 	Val_acc: 8.65
Train Epoch: 20 	Train_loss: 1.7088 	Train_acc: 30.68
	Val_loss: 1.9580 	Val_acc: 8.35
Train Epoch: 21 	Train_loss: 1.7058 	Train_acc: 30.79
	Val_loss: 1.9562 	Val_acc: 9.28
Train Epoch: 22 	Train_loss: 1.7002 	Train_acc: 31.00
	Val_loss: 1.9722 	Val_acc: 6.78
Train Epoch: 23 	Train_loss: 1.6988 	Train_acc: 31.01
	Val_loss: 1.9426 	Val_acc: 14.72
Train Epoch: 24 	Train_loss: 1.6929 	Train_acc: 31.22
	Val_loss: 1.9520 	Val_acc: 10.77
Train Epoch: 25 	Train_loss: 1.6912 	Train_acc: 31.41
	Val_loss: 1.9508 	Val_acc: 7.04
Train Epoch: 26 	Train_loss: 1.6892 	Train_acc: 31.35
	Val_loss: 1.9596 	Val_acc: 7.40
Train Epoch: 27 	Train_loss: 1.6861 	Train_acc: 31.50
	Val_loss: 1.9369 	Val_acc: 19.62
Train Epoch: 28 	Train_loss: 1.6845 	Train_acc: 31.54
	Val_loss: 1.9407 	Val_acc: 11.95
Train Epoch: 29 	Train_loss: 1.6800 	Train_acc: 31.70
	Val_loss: 1.9481 	Val_acc: 7.83
Train Epoch: 30 	Train_loss: 1.6793 	Train_acc: 31.71
	Val_loss: 1.9407 	Val_acc: 15.41
Train Epoch: 31 	Train_loss: 1.6764 	Train_acc: 31.84
	Val_loss: 1.9385 	Val_acc: 15.29
Train Epoch: 32 	Train_loss: 1.6757 	Train_acc: 31.88
	Val_loss: 1.9703 	Val_acc: 8.38
Train Epoch: 33 	Train_loss: 1.6738 	Train_acc: 31.99
	Val_loss: 1.9481 	Val_acc: 19.75
Train Epoch: 34 	Train_loss: 1.6710 	Train_acc: 32.06
	Val_loss: 1.9365 	Val_acc: 17.58
Train Epoch: 35 	Train_loss: 1.6679 	Train_acc: 32.14
	Val_loss: 1.9499 	Val_acc: 10.49
Train Epoch: 36 	Train_loss: 1.6686 	Train_acc: 32.22
	Val_loss: 1.9403 	Val_acc: 11.19
Train Epoch: 37 	Train_loss: 1.6651 	Train_acc: 32.29
	Val_loss: 1.9388 	Val_acc: 9.78
Train Epoch: 38 	Train_loss: 1.6638 	Train_acc: 32.38
	Val_loss: 1.9423 	Val_acc: 15.37
Train Epoch: 39 	Train_loss: 1.6616 	Train_acc: 32.43
	Val_loss: 1.9233 	Val_acc: 21.29
Train Epoch: 40 	Train_loss: 1.6598 	Train_acc: 32.54
	Val_loss: 1.9543 	Val_acc: 8.73
Train Epoch: 41 	Train_loss: 1.6592 	Train_acc: 32.52
	Val_loss: 1.9525 	Val_acc: 12.44
Train Epoch: 42 	Train_loss: 1.6577 	Train_acc: 32.63
	Val_loss: 1.9474 	Val_acc: 10.76
Train Epoch: 43 	Train_loss: 1.6566 	Train_acc: 32.66
	Val_loss: 1.9520 	Val_acc: 14.61
Train Epoch: 44 	Train_loss: 1.6563 	Train_acc: 32.75
	Val_loss: 1.9471 	Val_acc: 12.69
Train Epoch: 45 	Train_loss: 1.6535 	Train_acc: 32.80
	Val_loss: 1.9470 	Val_acc: 11.61
Train Epoch: 46 	Train_loss: 1.6525 	Train_acc: 32.83
	Val_loss: 1.9318 	Val_acc: 15.79
Train Epoch: 47 	Train_loss: 1.6515 	Train_acc: 32.90
	Val_loss: 1.9581 	Val_acc: 7.17
Train Epoch: 48 	Train_loss: 1.6509 	Train_acc: 32.92
	Val_loss: 1.9431 	Val_acc: 11.04
Train Epoch: 49 	Train_loss: 1.6482 	Train_acc: 33.01
	Val_loss: 1.9387 	Val_acc: 11.50
Train Epoch: 50 	Train_loss: 1.6472 	Train_acc: 33.15
	Val_loss: 1.9477 	Val_acc: 8.68
Train Epoch: 51 	Train_loss: 1.6467 	Train_acc: 33.02
	Val_loss: 1.9469 	Val_acc: 11.92
Train Epoch: 52 	Train_loss: 1.6442 	Train_acc: 33.13
	Val_loss: 1.9518 	Val_acc: 10.38
Train Epoch: 53 	Train_loss: 1.6452 	Train_acc: 33.14
	Val_loss: 1.9305 	Val_acc: 14.59
Train Epoch: 54 	Train_loss: 1.6435 	Train_acc: 33.29
	Val_loss: 1.9418 	Val_acc: 9.79
Train Epoch: 55 	Train_loss: 1.6432 	Train_acc: 33.28
	Val_loss: 1.9491 	Val_acc: 9.58
Train Epoch: 56 	Train_loss: 1.6404 	Train_acc: 33.33
	Val_loss: 1.9323 	Val_acc: 10.43
Train Epoch: 57 	Train_loss: 1.6402 	Train_acc: 33.42
	Val_loss: 1.9318 	Val_acc: 12.71
Train Epoch: 58 	Train_loss: 1.6389 	Train_acc: 33.45
	Val_loss: 1.9520 	Val_acc: 9.08
Train Epoch: 59 	Train_loss: 1.6381 	Train_acc: 33.46
	Val_loss: 1.9251 	Val_acc: 17.54
Train Epoch: 60 	Train_loss: 1.6387 	Train_acc: 33.45
	Val_loss: 1.9245 	Val_acc: 19.39
Train Epoch: 61 	Train_loss: 1.6380 	Train_acc: 33.47
	Val_loss: 1.9289 	Val_acc: 9.70
Train Epoch: 62 	Train_loss: 1.6361 	Train_acc: 33.49
	Val_loss: 1.9466 	Val_acc: 7.79
Train Epoch: 63 	Train_loss: 1.6337 	Train_acc: 33.66
	Val_loss: 1.9452 	Val_acc: 10.09
Train Epoch: 64 	Train_loss: 1.6346 	Train_acc: 33.59
	Val_loss: 1.9569 	Val_acc: 7.54
Train Epoch: 65 	Train_loss: 1.6331 	Train_acc: 33.71
	Val_loss: 1.9327 	Val_acc: 9.63
Train Epoch: 66 	Train_loss: 1.6333 	Train_acc: 33.65
	Val_loss: 1.9408 	Val_acc: 13.80
Train Epoch: 67 	Train_loss: 1.6319 	Train_acc: 33.71
	Val_loss: 1.9322 	Val_acc: 12.71
Train Epoch: 68 	Train_loss: 1.6291 	Train_acc: 33.84
	Val_loss: 1.9420 	Val_acc: 15.42
Train Epoch: 69 	Train_loss: 1.6290 	Train_acc: 33.87
	Val_loss: 1.9400 	Val_acc: 12.92
Train Epoch: 70 	Train_loss: 1.6304 	Train_acc: 33.82
	Val_loss: 1.9343 	Val_acc: 10.64
Train Epoch: 71 	Train_loss: 1.6278 	Train_acc: 33.93
	Val_loss: 1.9209 	Val_acc: 17.36
Train Epoch: 72 	Train_loss: 1.6262 	Train_acc: 33.96
	Val_loss: 1.9316 	Val_acc: 10.68
