Start training
Train Epoch: 1 	Train_loss: 1.2237 	Train_acc: 13.23
	Val_loss: 4.6456 	Val_acc: 0.53
Train Epoch: 2 	Train_loss: 1.0962 	Train_acc: 17.45
	Val_loss: 4.6153 	Val_acc: 0.57
Train Epoch: 3 	Train_loss: 0.9850 	Train_acc: 19.72
	Val_loss: 4.5680 	Val_acc: 0.59
Train Epoch: 4 	Train_loss: 0.9192 	Train_acc: 20.95
	Val_loss: 4.4652 	Val_acc: 0.67
Train Epoch: 5 	Train_loss: 0.8720 	Train_acc: 22.04
	Val_loss: 4.3982 	Val_acc: 0.78
Train Epoch: 6 	Train_loss: 0.8340 	Train_acc: 23.12
	Val_loss: 4.4263 	Val_acc: 0.84
Train Epoch: 7 	Train_loss: 0.8055 	Train_acc: 23.85
	Val_loss: 4.3812 	Val_acc: 0.97
Train Epoch: 8 	Train_loss: 0.7832 	Train_acc: 24.54
	Val_loss: 4.3277 	Val_acc: 1.07
Train Epoch: 9 	Train_loss: 0.7666 	Train_acc: 25.00
	Val_loss: 4.2066 	Val_acc: 1.15
Train Epoch: 10 	Train_loss: 0.7484 	Train_acc: 25.55
	Val_loss: 4.1787 	Val_acc: 1.17
Train Epoch: 11 	Train_loss: 0.7336 	Train_acc: 25.96
	Val_loss: 4.1784 	Val_acc: 1.25
Train Epoch: 12 	Train_loss: 0.7191 	Train_acc: 26.40
	Val_loss: 4.1379 	Val_acc: 1.28
Train Epoch: 13 	Train_loss: 0.7102 	Train_acc: 26.75
	Val_loss: 4.1583 	Val_acc: 1.33
Train Epoch: 14 	Train_loss: 0.6994 	Train_acc: 27.00
	Val_loss: 4.0909 	Val_acc: 1.44
Train Epoch: 15 	Train_loss: 0.6891 	Train_acc: 27.36
	Val_loss: 4.1309 	Val_acc: 1.43
Train Epoch: 16 	Train_loss: 0.6815 	Train_acc: 27.52
	Val_loss: 4.0690 	Val_acc: 1.49
Train Epoch: 17 	Train_loss: 0.6750 	Train_acc: 27.74
	Val_loss: 4.0567 	Val_acc: 1.44
Train Epoch: 18 	Train_loss: 0.6678 	Train_acc: 27.94
	Val_loss: 4.0610 	Val_acc: 1.47
Train Epoch: 19 	Train_loss: 0.6646 	Train_acc: 28.07
	Val_loss: 4.0180 	Val_acc: 1.48
Train Epoch: 20 	Train_loss: 0.6540 	Train_acc: 28.39
	Val_loss: 4.0688 	Val_acc: 1.54
Train Epoch: 21 	Train_loss: 0.6491 	Train_acc: 28.54
	Val_loss: 4.0808 	Val_acc: 1.53
Train Epoch: 22 	Train_loss: 0.6449 	Train_acc: 28.56
	Val_loss: 4.0302 	Val_acc: 1.54
Train Epoch: 23 	Train_loss: 0.6432 	Train_acc: 28.62
	Val_loss: 4.0366 	Val_acc: 1.57
Train Epoch: 24 	Train_loss: 0.6362 	Train_acc: 28.87
	Val_loss: 4.0460 	Val_acc: 1.58
Train Epoch: 25 	Train_loss: 0.6293 	Train_acc: 29.03
	Val_loss: 3.9385 	Val_acc: 1.62
Train Epoch: 26 	Train_loss: 0.6277 	Train_acc: 29.07
	Val_loss: 3.9589 	Val_acc: 1.62
Train Epoch: 27 	Train_loss: 0.6225 	Train_acc: 29.28
	Val_loss: 3.9429 	Val_acc: 1.69
Train Epoch: 28 	Train_loss: 0.6219 	Train_acc: 29.29
	Val_loss: 3.9552 	Val_acc: 1.66
Train Epoch: 29 	Train_loss: 0.6159 	Train_acc: 29.47
	Val_loss: 3.9202 	Val_acc: 1.70
Train Epoch: 30 	Train_loss: 0.6174 	Train_acc: 29.45
	Val_loss: 3.8947 	Val_acc: 1.70
Train Epoch: 31 	Train_loss: 0.6101 	Train_acc: 29.68
	Val_loss: 3.8955 	Val_acc: 1.70
Train Epoch: 32 	Train_loss: 0.6068 	Train_acc: 29.66
	Val_loss: 3.9671 	Val_acc: 1.70
Train Epoch: 33 	Train_loss: 0.6077 	Train_acc: 29.68
	Val_loss: 3.8626 	Val_acc: 1.71
Train Epoch: 34 	Train_loss: 0.6033 	Train_acc: 29.83
	Val_loss: 3.9049 	Val_acc: 1.77
Train Epoch: 35 	Train_loss: 0.5995 	Train_acc: 29.95
	Val_loss: 3.9363 	Val_acc: 1.72
Train Epoch: 36 	Train_loss: 0.5998 	Train_acc: 29.99
	Val_loss: 3.9408 	Val_acc: 1.73
Train Epoch: 37 	Train_loss: 0.5949 	Train_acc: 30.06
	Val_loss: 3.8523 	Val_acc: 1.75
Train Epoch: 38 	Train_loss: 0.5926 	Train_acc: 30.15
	Val_loss: 3.8704 	Val_acc: 1.82
Train Epoch: 39 	Train_loss: 0.5924 	Train_acc: 30.09
	Val_loss: 3.8498 	Val_acc: 1.76
Train Epoch: 40 	Train_loss: 0.5902 	Train_acc: 30.26
	Val_loss: 3.8756 	Val_acc: 1.74
Train Epoch: 41 	Train_loss: 0.5895 	Train_acc: 30.17
	Val_loss: 3.8890 	Val_acc: 1.80
Train Epoch: 42 	Train_loss: 0.5871 	Train_acc: 30.31
	Val_loss: 3.8048 	Val_acc: 1.82
Train Epoch: 43 	Train_loss: 0.5865 	Train_acc: 30.29
	Val_loss: 3.8348 	Val_acc: 1.81
Train Epoch: 44 	Train_loss: 0.5811 	Train_acc: 30.48
	Val_loss: 3.8677 	Val_acc: 1.87
Train Epoch: 45 	Train_loss: 0.5803 	Train_acc: 30.52
	Val_loss: 3.8538 	Val_acc: 1.79
Train Epoch: 46 	Train_loss: 0.5775 	Train_acc: 30.59
