CREATING ENVIRONMENT
CREATING DQN
alpha: 0.0015, gamma: 0.5, batch size: 50.

Episode: 0
Day 0, reward 0
WARNING:absl:Found untraced functions such as _update_step_xla while saving (showing 1 of 1). These functions will not be directly callable after loading.
Day 1, reward 0.0
Day 2, reward -360.0
Day 3, reward -1582.0
Day 4, reward -1980.0
Day 5, reward -2444.0
Day 6, reward -5504.0
Day 7, reward -5853.0
Day 8, reward -3437.0
Day 9, reward -1484.0
Day 10, reward -2902.0
Day 11, reward -1904.0
Day 12, reward -3251.0
Day 13, reward -1664.0
Day 14, reward -3333.0
Day 15, reward -2084.0
Day 16, reward -2973.0
Day 17, reward -1991.0
Day 18, reward -1691.0
Day 19, reward -1484.0
Day 20, reward -1920.0
Day 21, reward -1920.0
Day 22, reward -2531.0
Day 23, reward -2733.0
Day 24, reward -2640.0
Day 25, reward -2362.0
Day 26, reward -2040.0
Day 27, reward -1942.0
Day 28, reward -2220.0
Day 29, reward -2531.0
Day 30, reward -1871.0
Day 31, reward -3611.0
Day 32, reward -1473.0
Day 33, reward -3191.0
Day 34, reward -731.0
Day 35, reward -3060.0
Day 36, reward -960.0
Day 37, reward -2242.0
Day 38, reward -1173.0
Day 39, reward -2580.0
Day 40, reward -742.0
Day 41, reward -3022.0
Day 42, reward -993.0
Day 43, reward -2722.0
Day 44, reward -1380.0
Day 45, reward -2242.0
Day 46, reward -950.0
Day 47, reward -1631.0
Day 48, reward -2515.0
Day 49, reward -2220.0
Day 50, reward -2100.0
Day 51, reward -1980.0
Day 52, reward -1440.0
Day 53, reward -1500.0
Day 54, reward -1871.0
Day 55, reward -1320.0
Day 56, reward -3251.0
Day 57, reward -2040.0
Day 58, reward -1642.0
Day 59, reward -2100.0
Day 60, reward -3131.0
Day 61, reward -1080.0
Day 62, reward -2711.0
Day 63, reward -1500.0
Day 64, reward -2760.0
Day 65, reward -1740.0
Day 66, reward -2940.0
Day 67, reward -1800.0
Day 68, reward -2820.0
Day 69, reward -1882.0
Day 70, reward -1980.0
Day 71, reward -2482.0
Day 72, reward -2400.0
Day 73, reward -1740.0
Day 74, reward -1560.0
Day 75, reward -1440.0
Day 76, reward -1691.0
Day 77, reward -562.0
Day 78, reward -2400.0
Day 79, reward -2422.0
Day 80, reward -2351.0
Day 81, reward -2580.0
Day 82, reward -3060.0
Day 83, reward -3453.0
Day 84, reward -2580.0
Day 85, reward -2983.0
Day 86, reward -2563.0
Day 87, reward -2111.0
Day 88, reward -2520.0
Day 89, reward -2820.0
Day 90, reward -1691.0
Day 91, reward -1391.0
Day 92, reward -2411.0
Day 93, reward -971.0
Day 94, reward -1015.0
Day 95, reward -1091.0
Day 96, reward -780.0
Day 97, reward -911.0
Day 98, reward -1015.0
Day 99, reward -933.0
Day 100, reward -873.0
WARNING:absl:Found untraced functions such as _update_step_xla while saving (showing 1 of 1). These functions will not be directly callable after loading.
./gpu_test.sh: line 1: 19984 Killed                  python3 -u learning_rates.py --alpha=0.0015
est.sh: line 1: 32839 Killed                  python3 -u learning_rates.py --alpha=0.0015
