day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,41,0,0,0,0,0,0,0,0,0,2,6,0,6,9,18,0,0,22,50,2,11,16,44,0,0,-1800,0,36,0,0,36,0,0,0
1,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,70,5,0,1,0,2,0,2,0,0,3,25,1,4,6,28,1,2,22,51,2,13,16,46,0,0,-2050,0,41,0,0,41,0,0,0
2,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,61,0,0,0,0,0,0,0,0,0,6,21,0,6,2,24,0,2,22,51,2,11,16,45,0,0,-3361,0,67,1,0,68,0,0,0
3,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,40,8,1,1,2,0,1,3,0,0,6,11,0,0,2,18,0,3,22,52,2,10,17,47,0,0,-2822,0,56,2,0,58,0,0,0
4,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,22,131,20,49,4,6,13,38,0,1,1,9,0,3,1,8,0,0,21,51,5,8,14,43,0,1,-7319,0,37,0,5469,37,0,0,0
5,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,22,0,0,0,0,0,0,0,0,0,1,7,0,2,4,7,0,1,21,51,5,7,13,43,0,0,-961,0,19,1,0,20,0,0,0
6,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,59,15,1,9,1,0,0,4,0,0,4,17,3,0,2,30,0,3,22,59,6,5,13,45,0,0,-1027,0,19,2,55,21,0,0,0
7,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,86,0,0,0,0,0,0,0,0,0,3,37,2,0,9,35,0,0,19,58,4,3,13,45,0,0,-2583,0,51,3,0,54,0,0,0
8,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,65,13,2,6,0,1,1,1,0,2,4,31,0,2,5,21,0,2,21,63,4,3,14,43,0,2,-4469,0,84,1,258,85,0,0,0
9,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,70,113,13,41,0,7,3,45,0,4,6,27,0,9,7,19,2,0,16,56,1,8,4,50,0,4,-10883,0,61,0,7833,61,0,0,0
10,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,31,0,0,0,0,0,0,0,0,0,2,14,1,3,2,9,0,0,16,54,0,8,3,49,0,0,-3050,0,61,0,0,61,0,0,0
11,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,20,32,4,15,0,1,4,7,0,1,0,3,5,1,3,5,0,3,19,62,0,8,7,53,0,1,-1644,0,27,0,294,27,0,0,0
12,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,22,0,0,0,0,0,0,0,0,0,3,10,0,4,1,4,0,0,19,62,0,7,6,53,0,0,-861,0,17,1,0,18,0,0,0
13,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,30,13,2,4,0,0,0,6,0,1,1,9,1,4,3,12,0,0,19,60,0,6,6,58,0,1,-1128,0,19,0,178,19,0,0,0
