day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,44,0,0,0,0,0,0,0,0,0,1,25,0,1,4,11,0,2,30,48,1,6,11,43,0,4,-3200,0,64,0,0,64,0,0,0
1,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,113,9,2,4,0,1,1,1,0,0,10,44,0,13,6,31,3,6,31,52,1,7,12,43,0,4,-2100,0,42,0,0,42,0,0,0
2,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,99,0,0,0,0,0,0,0,0,0,5,45,0,2,4,37,2,4,31,49,0,7,11,42,0,2,-5261,0,105,1,0,106,0,0,0
3,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,56,16,1,8,0,0,1,6,0,0,2,16,0,3,4,27,2,2,31,57,0,5,9,47,0,1,-4572,0,91,2,0,93,0,0,0
4,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,25,109,16,42,1,8,5,37,0,0,1,16,0,0,0,4,0,4,19,54,1,9,7,44,0,0,-9577,0,53,1,6916,54,0,0,0
5,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,22,0,0,0,0,0,0,0,0,0,0,9,0,2,4,7,0,0,19,54,0,9,7,43,0,0,-1161,0,23,1,0,24,0,0,0
6,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,53,27,4,15,0,1,1,3,0,3,0,14,2,6,2,27,0,2,21,65,0,9,7,45,0,3,-1174,0,20,0,174,20,0,0,0
7,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,66,0,0,0,0,0,0,0,0,0,1,31,0,8,4,19,0,3,21,65,0,9,7,45,0,3,-2650,0,53,0,0,53,0,0,0
8,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,78,17,3,3,0,2,0,8,1,0,7,26,1,8,2,30,2,2,22,60,0,11,5,48,1,3,-3852,0,60,0,852,60,0,0,0
9,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,75,91,14,28,2,1,6,39,0,1,2,17,2,19,8,25,0,2,21,46,2,4,7,50,0,4,-11613,0,72,0,8013,72,0,0,0
