day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,70,150,22,71,2,7,8,37,2,1,9,21,0,5,1,30,2,2,22,71,2,7,8,37,2,1,-1883,0.0,37,3,0,40,0,0,0
1,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,59,0,0,0,0,0,0,0,0,0,0,18,0,0,4,34,0,3,20,67,0,2,1,27,0,0,-2122,0.0,42,2,0,44,0,0,0
2,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,100,50,10,20,1,5,3,11,0,0,7,36,0,4,9,37,1,6,27,80,1,5,3,34,0,0,-3472,0.0,69,2,0,71,0,0,0
3,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,67,0,0,0,0,0,0,0,0,0,4,29,0,0,7,26,0,1,21,73,0,0,0,25,0,0,-2611,0.0,52,1,0,53,0,0,0
4,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,54,46,5,19,1,2,5,14,0,0,6,18,0,6,4,15,2,3,21,86,1,2,5,35,0,0,-4540,0.0,31,1,2979,32,0,0,0
5,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,60,33,6,14,0,3,1,9,0,0,3,21,0,9,3,19,0,5,21,53,0,3,1,34,0,0,-2311,0.0,46,1,0,47,0,0,0
6,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,30,23,2,5,0,3,3,10,0,0,2,15,0,0,4,6,0,3,18,57,0,3,3,40,0,0,-1783,0.0,19,0,833,19,0,0,0
7,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,49,49,8,17,0,4,1,18,0,1,5,17,0,7,2,18,0,0,21,55,0,4,1,51,0,1,-1422,0.0,28,2,0,30,0,0,0
8,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,71,0,0,0,0,0,0,0,0,0,3,37,0,5,4,20,0,2,14,49,0,0,0,49,0,0,-4220,0.0,56,1,1409,57,0,0,0
9,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,56,68,13,23,2,5,3,20,1,1,0,28,0,4,0,21,0,3,22,59,2,5,3,57,1,1,-2677,0.0,33,3,994,36,0,0,0
10,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,67,0,0,0,0,0,0,0,0,0,4,16,2,7,3,35,0,0,21,45,0,0,0,48,0,0,-3521,0.0,55,0,771,55,0,0,0
11,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,50,56,13,21,0,2,4,15,0,1,4,16,6,1,1,18,0,4,29,61,0,2,4,53,0,1,-3363,0.0,34,0,1663,34,0,0,0
12,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,14,0,0,0,0,0,0,0,0,0,1,4,0,0,4,5,0,0,25,44,0,0,1,35,0,0,-600,0.0,12,0,0,12,0,0,0
13,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,13,47,5,21,0,4,3,13,0,1,1,2,2,0,0,6,0,2,29,64,0,4,4,48,0,1,-1077,0.0,8,1,666,9,0,0,0
14,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,37,9,1,3,0,2,1,2,0,0,0,14,0,2,3,15,1,2,19,45,0,6,4,30,0,0,-972,0.0,19,2,0,21,0,0,0
15,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,37,58,7,20,0,1,2,27,1,0,2,16,0,4,3,12,0,0,26,61,0,1,2,53,1,0,-2853,0.0,29,0,1403,29,0,0,0
16,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,25,0,0,0,0,0,0,0,0,0,6,8,1,0,0,8,0,2,13,44,0,0,0,42,1,0,-950,0.0,19,0,0,19,0,0,0
17,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,39,56,13,20,1,2,6,13,0,1,6,12,0,2,2,17,0,0,24,61,1,2,6,55,0,1,-2854,0.0,32,1,1243,33,0,0,0
18,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,43,0,0,0,0,0,0,0,0,0,0,9,0,2,2,29,0,1,21,43,0,1,6,42,0,0,-1689,0.0,31,0,139,31,0,0,0
19,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,18,50,7,23,0,3,0,16,0,1,1,7,0,4,0,5,0,1,23,63,0,3,4,56,0,1,-1299,0.0,9,0,849,9,0,0,0
20,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,38,4,0,2,1,0,0,1,0,0,0,16,2,0,2,12,0,6,20,45,1,2,2,30,0,1,-1222,0.0,24,2,0,26,0,0,0
21,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,52,60,11,19,2,5,1,21,0,1,6,18,3,5,4,14,0,2,27,62,2,5,1,49,0,1,-3703,0.0,38,1,1792,39,0,0,0
