day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,110,150,16,61,3,5,17,46,1,1,9,43,0,7,6,39,0,6,16,61,3,5,17,46,1,1,-2772,0.0,55,2,0,57,0,0,0
1,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,51,0,0,8,36,0,0,-650,0.0,13,0,0,13,0,0,0
2,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,66,57,10,15,1,6,4,21,0,0,6,19,2,7,0,31,0,1,10,65,1,6,12,56,0,0,-1633,0.0,32,3,0,35,0,0,0
3,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,55,0,0,0,0,0,0,0,0,0,4,11,0,7,2,30,0,1,6,59,0,0,2,49,0,0,-1711,0.0,34,1,0,35,0,0,0
4,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,38,55,12,13,1,4,7,17,0,1,3,12,0,4,0,19,0,0,13,68,1,4,7,56,0,1,-2699,0.0,12,3,2066,15,0,0,0
5,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,10,36,4,12,1,2,2,13,1,1,0,7,0,2,0,1,0,0,12,40,1,2,3,51,1,1,-50,0.0,1,0,0,1,0,0,0
6,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,18,15,2,4,0,4,0,5,0,0,1,6,0,6,0,5,0,0,13,41,0,5,3,54,1,0,-1050,0.0,10,0,550,10,0,0,0
7,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,44,55,13,13,1,2,2,21,0,3,2,14,2,3,0,19,0,4,25,42,1,6,2,56,0,3,-1250,0.0,25,0,0,25,0,0,0
8,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,73,0,0,0,0,0,0,0,0,0,6,35,5,0,6,20,0,1,19,39,0,6,0,52,0,0,-3441,0.0,46,6,1075,52,0,0,0
9,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,54,67,9,26,2,4,6,20,0,0,7,16,0,7,1,19,0,4,22,55,2,6,6,59,0,0,-2551,0.0,28,3,1118,31,0,0,0
10,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,64,0,0,0,0,0,0,0,0,0,1,33,2,2,3,20,2,1,19,43,0,0,0,46,0,0,-2701,0.0,48,1,290,49,0,0,0
11,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,37,59,11,27,3,3,2,12,0,1,4,13,0,2,1,15,0,2,26,62,3,3,2,53,0,1,-1925,0.0,17,1,1064,18,0,0,0
12,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,22,0,0,0,0,0,0,0,0,0,3,6,0,2,2,9,0,0,20,53,0,2,1,32,0,0,-550,0.0,11,0,0,11,0,0,0
13,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,32,53,7,20,3,6,4,13,0,0,0,22,0,0,0,10,0,0,26,70,3,8,4,39,0,0,-2158,0.0,17,1,1297,18,0,0,0
14,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,44,1,0,1,0,0,0,0,0,0,0,8,2,10,4,19,0,1,18,48,0,7,3,25,0,0,-1094,0.0,21,4,0,25,0,0,0
15,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,85,71,12,20,1,4,6,28,0,0,8,33,4,10,5,25,0,0,26,62,1,5,8,47,0,0,-4501,0.0,51,1,1940,52,0,0,0
16,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,85,0,0,0,0,0,0,0,0,0,12,30,1,3,9,30,0,0,17,41,0,0,2,40,0,0,-3172,0.0,63,2,0,65,0,0,0
17,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,84,72,16,25,0,3,7,18,1,2,8,29,0,12,10,19,2,4,24,60,0,3,7,53,1,2,-3861,0.0,52,2,1239,54,0,0,0
18,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,66,0,0,0,0,0,0,0,0,0,8,24,1,3,3,20,0,7,17,46,0,0,0,46,0,0,-2616,0.0,52,0,16,52,0,0,0
19,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,34,55,10,22,0,6,1,16,0,0,2,13,1,2,4,11,0,1,22,64,0,6,1,57,0,0,-2198,0.0,19,4,1204,23,0,0,0
20,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,14,0,0,0,0,0,0,0,0,0,2,6,0,0,2,4,0,0,19,47,0,3,0,34,0,0,-500,0.0,10,0,0,10,0,0,0
21,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,40,51,8,18,1,4,4,15,0,1,3,13,0,3,0,21,0,0,27,62,1,7,4,48,0,1,-2634,0.0,19,1,1673,20,0,0,0
22,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,57,12,3,2,0,0,0,6,0,1,2,29,0,0,6,20,0,0,21,42,0,2,2,37,0,1,-1800,0.0,36,0,0,36,0,0,0
23,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,61,55,10,18,2,5,8,11,0,1,4,18,2,4,5,28,0,0,21,57,2,5,8,45,0,1,-3246,0.0,33,4,1552,37,0,0,0
24,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,57,13,5,3,1,0,1,3,0,0,6,23,1,1,0,23,3,0,23,41,1,1,5,35,0,0,-1622,0.0,32,2,0,34,0,0,0
25,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,44,58,4,25,0,3,5,19,1,1,2,15,0,2,2,20,2,1,21,60,0,3,5,48,1,1,-1777,0.0,21,1,716,22,0,0,0
26,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,39,0,0,0,0,0,0,0,0,0,3,9,0,0,1,25,0,1,14,48,0,0,2,39,0,0,-1500,0.0,27,0,150,27,0,0,0
27,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.7525,0.001,0.98,50,10,61,11,20,2,7,1,19,0,1,6,1,0,0,0,3,0,0,23,64,2,7,1,52,0,1,-484,0.0,4,0,284,4,0,0,0
