day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,110,150,16,61,3,5,17,46,1,1,9,43,0,7,6,39,0,6,16,61,3,5,17,46,1,1,-3122,0.0,62,2,0,64,0,0,0
1,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,8,54,0,0,6,34,0,0,-450,0.0,9,0,0,9,0,0,0
2,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,66,54,8,14,1,6,4,21,0,0,6,19,2,7,0,31,0,1,16,66,1,6,7,54,0,0,-2011,0.0,40,1,0,41,0,0,0
3,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,55,0,0,0,0,0,0,0,0,0,4,11,0,7,2,30,0,1,11,60,0,2,3,48,0,0,-1772,0.0,35,2,0,37,0,0,0
4,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,38,46,11,9,0,4,5,16,0,1,3,12,0,4,0,19,0,0,15,66,0,4,5,59,0,1,-3315,0.0,19,1,2354,20,0,0,0
5,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,10,41,7,17,2,2,4,9,0,0,0,7,0,2,0,1,0,0,17,40,2,3,5,46,0,0,-300,0.0,6,0,0,6,0,0,0
6,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,18,2,0,0,0,0,0,1,1,0,1,6,0,6,0,5,0,0,16,40,0,3,4,47,1,0,-1087,0.0,9,1,626,10,0,0,0
7,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,44,81,17,19,2,6,2,31,0,4,2,14,2,3,0,19,0,4,31,45,2,6,4,57,0,4,-1233,0.0,24,3,0,27,0,0,0
8,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,73,0,0,0,0,0,0,0,0,0,6,35,5,0,6,20,0,1,27,43,0,0,2,54,0,3,-3616,0.0,48,3,1183,51,0,0,0
9,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,54,54,7,20,1,4,4,18,0,0,7,16,0,7,1,19,0,4,26,56,1,4,4,59,0,0,-2478,0.0,29,2,1006,31,0,0,0
10,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,64,0,0,0,0,0,0,0,0,0,1,33,2,2,3,20,2,1,24,39,0,0,1,50,0,0,-2112,0.0,42,0,12,42,0,0,0
11,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,37,58,10,24,3,3,4,13,0,1,4,13,0,2,1,15,0,2,24,60,3,3,4,55,0,1,-2465,0.0,18,2,1543,20,0,0,0
12,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,22,7,1,6,0,0,0,0,0,0,3,6,0,2,2,9,0,0,18,50,0,0,2,31,0,0,-572,0.0,11,2,0,13,0,0,0
13,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,32,53,7,20,3,6,4,13,0,0,0,22,0,0,0,10,0,0,23,65,3,6,4,42,0,0,-1895,0.0,17,0,1045,17,0,0,0
14,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,44,5,0,3,0,0,1,1,0,0,0,8,2,10,4,19,0,1,17,53,0,6,1,27,0,0,-1433,0.0,28,3,0,31,0,0,0
15,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,85,58,10,18,0,2,4,24,0,0,8,33,4,10,5,25,0,0,24,67,0,6,4,45,0,0,-4786,0.0,56,1,1975,57,0,0,0
16,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,85,0,0,0,0,0,0,0,0,0,12,30,1,3,9,30,0,0,18,47,0,0,0,38,0,0,-3401,0.0,64,2,179,66,0,0,0
17,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,84,68,14,23,1,5,8,16,0,1,8,29,0,12,10,19,2,4,25,62,1,5,8,48,0,1,-4525,0.0,54,2,1803,56,0,0,0
18,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,66,0,0,0,0,0,0,0,0,0,8,24,1,3,3,20,0,7,17,44,0,0,0,41,0,0,-2585,0.0,50,2,63,52,0,0,0
19,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,34,64,13,22,0,6,1,20,1,1,2,13,1,2,4,11,0,1,26,63,0,6,1,52,1,1,-2087,0.0,20,2,1065,22,0,0,0
20,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,14,0,0,0,0,0,0,0,0,0,2,6,0,0,2,4,0,0,23,45,0,4,0,36,0,0,-411,0.0,8,1,0,9,0,0,0
21,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,40,48,8,16,1,4,3,15,0,1,3,13,0,3,0,21,0,0,30,60,1,6,3,49,0,1,-2570,0.0,19,2,1598,21,0,0,0
22,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,57,13,2,6,0,0,1,4,0,0,2,29,0,0,6,20,0,0,23,44,0,2,1,39,0,0,-1861,0.0,37,1,0,38,0,0,0
23,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,61,49,12,14,1,3,6,11,0,2,4,18,2,4,5,28,0,0,29,54,1,3,6,43,0,2,-3274,0.0,29,1,1813,30,0,0,0
24,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,57,25,4,8,2,2,3,6,0,0,6,23,1,1,0,23,3,0,26,44,2,2,3,36,0,0,-1722,0.0,34,2,0,36,0,0,0
25,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,44,42,4,17,0,1,5,14,0,1,2,15,0,2,2,20,2,1,23,57,0,1,5,45,0,1,-2335,0.0,29,1,874,30,0,0,0
26,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,39,14,1,6,0,1,0,5,1,0,3,9,0,0,1,25,0,1,18,51,0,1,2,40,1,0,-1605,0.0,26,0,305,26,0,0,0
27,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,10,42,7,15,2,5,1,12,0,0,6,1,0,0,0,3,0,0,20,60,2,5,3,48,0,0,-366,0.0,2,0,266,2,0,0,0
28,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,38,5,1,2,0,1,0,1,0,0,7,13,2,2,0,11,1,2,17,48,0,6,1,38,0,0,-1773,0.0,25,2,501,27,0,0,0
29,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,51,57,14,17,1,2,2,20,0,1,3,20,0,2,6,18,0,2,27,57,1,5,2,52,0,1,-2707,0.0,27,3,1324,30,0,0,0
30,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,56,0,0,0,0,0,0,0,0,0,2,21,0,2,8,18,0,5,21,40,0,0,1,38,0,0,-2489,0.0,42,3,356,45,0,0,0
31,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,60,66,9,24,1,4,8,18,0,2,8,11,2,2,14,21,2,0,27,58,1,4,8,50,0,2,-3440,0.0,39,7,1413,46,0,0,0
32,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,63,0,0,0,0,0,0,0,0,0,10,15,0,9,8,18,0,3,24,43,0,0,4,39,0,0,-2317,0.0,44,2,95,46,0,0,0
33,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,23,59,4,26,2,4,3,19,0,1,4,6,0,3,0,8,0,2,26,67,2,4,3,47,0,1,-1374,0.0,11,1,813,12,0,0,0
34,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,15,0,0,0,0,0,0,0,0,0,4,2,0,2,2,5,0,0,13,50,0,1,3,37,0,1,-450,0.0,9,0,0,9,0,0,0
35,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,25,51,7,25,1,1,2,14,1,0,2,6,0,2,3,12,0,0,20,75,1,1,3,49,1,0,-1821,0.0,13,1,1160,14,0,0,0
36,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,47,9,1,1,0,2,2,3,0,0,4,19,0,0,2,20,2,0,12,52,0,2,2,36,0,0,-1561,0.0,31,1,0,32,0,0,0
37,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,46,56,5,21,1,5,6,18,0,0,2,12,0,3,3,26,0,0,15,67,1,6,6,49,0,0,-2671,0.0,26,5,1316,31,0,0,0
38,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,50,0,0,0,0,0,0,0,0,0,2,11,0,0,8,29,0,0,13,47,0,2,4,35,0,0,-1344,0.0,26,4,0,30,0,0,0
39,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,40,73,9,31,1,2,6,24,0,0,2,20,0,1,3,14,0,0,16,70,1,3,6,54,0,0,-2151,0.0,24,2,929,26,0,0,0
40,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,3,13,53,0,0,5,45,0,0,-390,0.0,7,0,40,7,0,0,0
41,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,25,41,3,14,0,3,3,14,1,3,1,11,0,2,0,11,0,0,14,66,0,3,7,56,1,3,-1526,0.0,11,2,954,13,0,0,0
42,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,27,15,1,5,1,1,3,4,0,0,2,15,0,1,0,7,0,2,13,50,1,1,7,42,0,1,-800,0.0,16,0,0,16,0,0,0
43,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,54,33,6,14,0,1,1,11,0,0,0,25,0,1,6,21,0,1,18,59,0,1,6,52,0,1,-4539,0.0,35,0,2789,35,0,0,0
44,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,43,47,10,16,2,2,2,14,0,1,0,10,0,4,2,25,0,2,20,49,2,2,2,43,0,1,-1200,0.0,24,0,0,24,0,0,0
45,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,70,10,3,4,1,1,0,0,1,0,7,30,4,2,3,19,0,5,20,47,1,1,0,40,1,0,-3336,0.0,50,1,825,51,0,0,0
46,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,49,60,10,21,0,3,6,19,0,1,6,21,0,3,10,6,0,3,25,60,0,3,6,48,0,1,-1815,0.0,31,0,265,31,0,0,0
47,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,27,0,0,0,0,0,0,0,0,0,1,16,0,0,1,7,2,0,22,55,0,0,0,44,0,0,-1849,0.0,24,0,649,24,0,0,0
48,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,25,56,10,16,1,3,1,24,0,1,1,10,2,0,3,5,0,4,30,57,1,3,1,57,0,1,-1762,0.0,17,2,890,19,0,0,0
49,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,39,0,0,0,0,0,0,0,0,0,2,16,0,0,7,11,0,3,23,41,0,0,0,43,0,0,-1651,0.0,30,1,140,31,0,0,0
50,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,108,54,10,22,1,1,2,18,0,0,3,37,3,22,5,35,0,3,30,58,1,1,2,58,0,0,-6821,0.0,73,1,3160,74,0,0,0
51,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,75,0,0,0,0,0,0,0,0,0,2,29,0,5,11,26,2,0,20,38,0,0,0,42,0,0,-2672,0.0,53,2,0,55,0,0,0
52,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,61,72,9,29,1,3,2,25,1,2,2,28,2,4,4,21,0,0,21,59,1,3,2,61,1,2,-3162,0.0,36,2,1340,38,0,0,0
53,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,61,0,0,0,0,0,0,0,0,0,5,28,4,0,9,14,0,1,16,51,0,0,0,43,0,0,-2311,0.0,46,1,0,47,0,0,0
54,True,reg_7,request_scratch,cau100_afr0_asi0_7,regional_7,50,150,912,70,0,1,0.01,0.703,0.001,0.98,50,71,55,9,18,1,7,4,10,1,5,5,33,0,2,3,27,1,0,21,63,1,7,4,48,1,5,-3795,0.0,39,3,1812,42,0,0,0
