day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,70,150,22,52,3,12,8,50,1,2,6,28,0,8,2,26,0,0,22,52,3,12,8,50,1,2,-9608,0.0,21,2,8536,23,0,0,0
1,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,19,49,7,15,0,1,6,19,1,0,0,12,0,2,1,4,0,0,7,15,0,1,6,19,1,0,-1197,0.0,8,0,797,8,0,0,0
2,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,69,112,19,40,1,8,5,39,0,0,5,20,3,1,6,29,0,5,19,40,1,8,5,39,0,0,-7814,0.0,31,8,6176,39,0,0,0
3,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,105,76,8,38,3,3,5,18,1,0,6,36,0,8,14,35,1,5,8,38,3,3,5,18,1,0,-8259,0.0,62,2,5137,64,0,0,0
4,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,70,117,19,45,3,4,6,36,0,4,8,19,0,4,2,37,0,0,19,45,3,4,6,36,0,4,-7822,0.0,26,5,6467,31,0,0,0
5,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,20,77,21,25,0,6,5,19,0,1,2,9,0,2,2,5,0,0,21,25,0,6,5,19,0,1,-1697,0.0,6,2,1375,8,0,0,0
6,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,0,87,10,33,0,7,6,30,0,1,0,0,0,0,0,0,0,0,10,33,0,7,6,30,0,1,0,0.0,0,0,0,0,0,0,0
7,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,50,63,7,23,1,3,3,24,1,1,3,20,2,3,1,18,0,3,7,23,1,3,3,24,1,1,-3973,0.0,30,0,2473,30,0,0,0
8,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,50,107,17,30,3,6,10,38,0,3,0,13,0,4,7,25,0,1,17,30,3,6,10,38,0,3,-5214,0.0,16,4,4370,20,0,0,0
9,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,72,77,8,27,2,8,7,25,0,0,6,23,0,2,3,33,0,5,8,27,2,8,7,25,0,0,-5221,0.0,28,5,3766,33,0,0,0
10,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,127,117,15,41,3,7,13,34,2,2,15,53,0,10,11,35,0,3,15,41,3,7,13,34,2,2,-12083,0.0,57,5,9178,62,0,0,0
11,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,58,103,13,34,2,5,7,41,1,0,3,25,0,4,4,18,0,4,13,34,2,5,7,41,1,0,-5598,0.0,17,3,4715,20,0,0,0
12,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,13,88,10,40,1,4,6,26,0,1,2,8,0,2,0,1,0,0,10,40,1,4,6,26,0,1,-1339,0.0,5,0,1089,5,0,0,0
13,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,2,70,12,31,0,4,3,19,0,1,0,2,0,0,0,0,0,0,12,31,0,4,3,19,0,1,-188,0.0,1,0,138,1,0,0,0
14,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,43,81,16,25,1,8,6,25,0,0,3,15,0,6,3,11,0,5,16,25,1,8,6,25,0,0,-3699,0.0,16,1,2888,17,0,0,0
15,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,47,96,21,31,4,5,7,27,0,1,3,14,0,2,2,20,0,6,21,31,4,5,7,27,0,1,-4353,0.0,12,5,3698,17,0,0,0
16,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,57,89,8,33,0,5,9,33,0,1,2,9,0,8,9,29,0,0,8,33,0,5,9,33,0,1,-4587,0.0,15,3,3804,18,0,0,0
17,True,reg_17,request_scratch,cau100_afr0_asi0_17,regional_17,50,150,912,70,0,1,0.01,1,0.001,0.98,50,34,103,21,40,2,2,4,30,0,4,5,13,0,0,2,14,0,0,21,40,2,2,4,30,0,4,-3626,0.0,11,3,3043,14,0,0,0
