day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,57,150,21,49,2,14,10,51,1,2,8,19,0,1,2,24,0,3,21,49,2,14,10,51,1,2,-461,0.0,9,1,0,10,0,0,0
1,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,34,0,0,0,0,0,0,0,0,0,0,9,0,0,9,16,0,0,16,20,0,12,7,47,0,0,-327,0.0,5,7,0,12,0,0,0
2,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,126,77,15,23,2,2,2,31,1,1,12,33,0,13,4,59,0,5,27,27,2,10,7,75,1,1,-3561,0.0,71,1,0,72,0,0,0
3,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,82,5,0,1,0,1,1,2,0,0,4,33,0,6,4,33,0,2,17,1,0,8,3,71,0,0,-3322,0.0,66,2,0,68,0,0,0
4,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,65,63,7,22,1,4,5,24,0,0,5,22,0,1,6,29,0,2,20,22,1,7,5,92,0,0,-3283,0.0,23,4,2089,27,0,0,0
5,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,27,38,6,15,0,3,3,10,1,0,3,3,0,2,6,13,0,0,20,15,0,7,4,67,1,0,-455,0.0,8,5,0,13,0,0,0
6,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,35,32,6,12,1,0,5,8,0,0,6,10,0,4,2,13,0,0,26,13,1,5,8,74,0,0,-1651,0.0,9,1,1190,10,0,0,0
7,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,63,64,13,20,1,6,5,18,0,1,5,24,1,3,3,23,0,4,32,20,1,9,8,62,0,1,-1263,0.0,24,3,30,27,0,0,0
8,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,75,16,2,7,0,2,0,5,0,0,1,24,4,4,9,31,0,2,29,7,0,6,5,63,0,0,-4476,0.0,55,4,1682,59,0,0,0
9,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,0.505,0.001,0.99,50,87,73,7,28,0,5,10,22,0,1,4,35,1,4,6,33,0,4,34,28,0,6,10,63,0,1,-2711,0.0,34,3,978,37,0,0,0
