day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,126,150,24,56,5,17,8,39,0,1,4,41,3,6,16,53,0,3,24,56,5,17,8,39,0,1,-3588,0.0,70,8,0,78,0,0,0
1,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,33,0,0,0,0,0,0,0,0,0,5,11,0,2,4,11,0,0,0,45,0,12,6,31,0,0,-1022,0.0,20,2,0,22,0,0,0
2,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,95,69,13,19,3,3,7,23,1,0,13,34,0,10,5,30,0,3,13,60,3,12,9,52,1,0,-2822,0.0,56,2,0,58,0,0,0
3,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,83,0,0,0,0,0,0,0,0,0,7,39,3,3,10,17,0,4,0,54,0,7,0,50,0,0,-3761,0.0,75,1,0,76,0,0,0
4,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,53,47,12,17,1,3,1,13,0,0,0,22,2,1,6,22,0,0,12,70,1,7,1,59,0,0,-4651,0.0,33,3,2968,36,0,0,0
5,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,30,41,4,18,2,2,3,12,0,0,5,8,0,4,0,13,0,0,4,54,2,6,3,48,0,0,-1150,0.0,23,0,0,23,0,0,0
6,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,29,6,0,6,0,0,0,0,0,0,2,9,0,4,3,8,1,2,0,60,1,6,1,48,0,0,-2402,0.0,24,0,1202,24,0,0,0
7,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,65,73,18,19,1,3,9,21,0,2,5,39,1,4,1,15,0,0,18,60,1,8,9,46,0,2,-1600,0.0,32,0,0,32,0,0,0
8,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,96,0,0,0,0,0,0,0,0,0,3,28,1,0,6,52,2,4,0,59,0,6,2,44,0,0,-6411,0.0,82,3,2278,85,0,0,0
9,True,reg_16,request_scratch,cau100_afr0_asi0_16,regional_16,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,68,71,11,29,1,4,1,25,0,0,3,28,4,2,9,20,0,2,11,72,1,7,1,58,0,0,-4061,0.0,45,2,1789,47,0,0,0
