day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,53,150,19,53,2,13,13,50,0,0,3,14,2,4,2,26,2,0,19,53,2,13,13,50,0,0,-583,0.0,11,3,0,14,0,0,0
1,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,33,0,0,0,0,0,0,0,0,0,4,15,0,0,1,11,2,0,0,49,0,10,0,49,0,0,-1450,0.0,29,0,0,29,0,0,0
2,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,95,46,6,20,0,0,1,19,0,0,8,39,2,6,2,27,0,11,6,69,0,7,1,67,0,0,-3833,0.0,76,3,0,79,0,0,0
3,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,32,0,0,0,0,0,0,0,0,0,0,9,3,0,1,14,0,5,0,66,0,1,0,64,0,0,-1211,0.0,24,1,0,25,0,0,0
4,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,38,27,8,9,0,4,0,6,0,0,4,17,1,3,2,6,0,5,8,70,0,4,0,68,0,0,-4415,0.0,25,0,3165,25,0,0,0
5,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,32,75,13,33,1,2,6,20,0,0,3,8,0,1,1,14,0,5,13,62,1,5,6,45,0,0,-722,0.0,14,2,0,16,0,0,0
6,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,49,0,0,0,0,0,0,0,0,0,5,20,0,0,2,18,0,4,0,61,0,4,5,44,0,0,-3669,0.0,38,3,1736,41,0,0,0
7,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,38,81,9,34,1,4,7,25,1,0,0,18,0,2,2,10,2,4,9,76,1,5,7,51,1,0,-972,0.0,19,2,0,21,0,0,0
8,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,43,0,0,0,0,0,0,0,0,0,0,16,0,9,6,12,0,0,0,74,0,5,5,47,0,0,-2258,0.0,37,2,386,39,0,0,0
9,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,52,33,6,14,1,3,4,5,0,0,2,19,2,14,2,11,0,2,6,81,1,5,7,50,0,0,-4293,0.0,33,2,2621,35,0,0,0
10,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,70,41,7,15,1,3,1,13,0,1,1,27,2,8,0,26,0,6,7,63,1,5,5,43,0,1,-2372,0.0,47,2,0,49,0,0,0
11,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,33,17,1,11,0,1,0,4,0,0,1,14,1,6,0,11,0,0,1,71,0,5,0,42,0,0,-2979,0.0,27,1,1618,28,0,0,0
12,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,33,69,14,21,1,7,4,21,0,1,2,13,0,2,2,11,0,3,14,61,1,10,4,43,0,1,-600,0.0,12,0,0,12,0,0,0
13,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,45,0,0,0,0,0,0,0,0,0,8,12,0,4,0,21,0,0,0,60,0,9,2,41,0,1,-2826,0.0,42,1,715,43,0,0,0
