day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,104,150,18,54,3,8,11,54,1,1,4,39,0,7,12,36,0,6,18,54,3,8,11,54,1,1,-1526,0.0,27,16,0,43,0,0,0
1,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,32,4,0,3,0,0,0,1,0,0,2,10,2,3,1,9,0,5,15,3,0,5,3,51,0,0,-1300,0.0,26,0,0,26,0,0,0
2,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,71,75,16,20,0,6,8,23,0,2,7,28,2,4,2,26,0,2,30,23,0,11,8,72,0,2,-2572,0.0,51,2,0,53,0,0,0
3,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,56,0,0,0,0,0,0,0,0,0,5,23,0,1,10,16,0,1,26,22,0,8,0,70,0,0,-2672,0.0,53,2,0,55,0,0,0
4,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,52,27,3,12,0,2,1,9,0,0,6,20,0,7,2,13,2,2,29,33,0,9,1,78,0,0,-5231,0.0,47,0,2881,47,0,0,0
5,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,26,32,6,12,0,2,2,10,0,0,0,7,1,0,4,9,0,5,25,44,0,10,2,43,0,0,-930,0.0,18,1,19,19,0,0,0
6,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,34,4,0,3,0,0,0,1,0,0,0,14,0,2,2,13,0,3,23,47,0,7,0,43,0,0,-3571,0.0,31,0,2021,31,0,0,0
7,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,40,86,13,34,1,2,6,26,1,3,5,10,0,2,7,15,0,1,22,61,1,6,6,46,1,3,-1372,0.0,27,2,0,29,0,0,0
8,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,61,0,0,0,0,0,0,0,0,0,2,14,2,8,8,23,0,4,22,59,1,4,0,46,0,1,-3436,0.0,48,4,992,52,0,0,0
9,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,45,41,4,13,0,2,5,16,0,1,2,19,0,2,0,22,0,0,23,62,0,6,5,53,0,1,-2751,0.0,32,0,1151,32,0,0,0
10,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,58,1,0,0,1,0,0,0,0,0,4,21,0,5,7,21,0,0,17,50,1,4,0,43,0,0,-2785,0.0,52,0,185,52,0,0,0
11,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,34,44,8,14,1,2,2,17,0,0,3,15,0,2,4,8,2,0,23,61,1,4,2,59,0,0,-3755,0.0,28,1,2344,29,0,0,0
12,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,18,31,2,11,1,2,2,12,0,1,0,8,0,1,0,9,0,0,14,38,2,6,2,45,0,1,-661,0.0,13,1,0,14,0,0,0
13,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,31,18,5,7,1,1,0,4,0,0,2,15,1,1,5,7,0,0,19,45,3,6,0,47,0,1,-2261,0.0,26,1,950,27,0,0,0
14,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,43,45,7,17,0,3,1,16,0,1,0,15,1,5,3,17,0,2,22,49,1,8,1,49,0,2,-1822,0.0,36,2,0,38,0,0,0
15,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,60,0,0,0,0,0,0,0,0,0,6,11,0,5,7,23,2,6,20,48,0,6,0,49,0,2,-4791,0.0,54,1,2080,55,0,0,0
16,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,73,64,7,25,1,3,5,22,0,1,4,31,2,9,2,24,0,1,21,60,1,8,5,54,0,1,-4555,0.0,59,0,1605,59,0,0,0
17,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,62,0,0,0,0,0,0,0,0,0,9,24,0,4,3,18,0,4,19,49,0,5,0,42,0,1,-3522,0.0,54,0,822,54,0,0,0
18,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,35,52,7,21,0,5,2,17,0,0,1,15,0,0,4,15,0,0,21,63,0,9,2,55,0,0,-2913,0.0,30,1,1402,31,0,0,0
19,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,17,0,0,0,0,0,0,0,0,0,0,8,2,2,0,5,0,0,14,46,0,8,0,39,0,0,-800,0.0,16,0,0,16,0,0,0
20,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,36,44,7,17,1,2,0,16,0,1,1,12,0,0,0,20,2,1,21,63,1,10,0,54,0,1,-3698,0.0,34,1,1987,35,0,0,0
21,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,75,14,1,6,1,0,0,6,0,0,5,32,0,4,5,25,0,4,15,44,2,7,0,39,0,0,-3033,0.0,60,3,0,63,0,0,0
22,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,112,44,8,19,0,1,5,11,0,0,8,39,3,4,13,40,0,5,19,60,1,4,5,47,0,0,-7553,0.0,90,2,3031,92,0,0,0
23,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,76,19,4,3,0,0,0,11,0,1,6,21,1,12,5,28,0,3,20,45,0,1,0,44,0,1,-3322,0.0,66,2,0,68,0,0,0
24,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,93,31,4,9,0,3,3,12,0,0,3,30,2,8,3,46,0,1,22,51,0,3,3,53,0,0,-6438,0.0,79,0,2488,79,0,0,0
25,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,58,29,0,9,1,2,2,14,0,1,5,17,2,3,8,18,0,5,17,46,1,3,2,54,0,1,-3119,0.0,50,0,619,50,0,0,0
26,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,24,18,4,5,1,0,0,8,0,0,1,7,0,0,1,13,0,2,20,45,1,3,0,56,0,0,-1764,0.0,18,2,842,20,0,0,0
27,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.19,0.001,0.99,50,21,46,12,13,1,3,3,14,0,0,0,9,0,4,2,6,0,0,24,39,2,5,3,59,0,0,-1175,0.0,16,0,375,16,0,0,0
