day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,41,150,24,50,2,12,16,44,0,2,8,14,0,2,2,14,1,0,24,50,2,12,16,44,0,2,-133,0.0,2,3,0,5,0,0,0
1,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,41,0,0,0,0,0,0,0,0,0,2,6,0,6,9,18,0,0,24,47,2,11,13,14,0,0,-1027,0.0,19,7,0,26,0,0,0
2,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,70,61,8,22,2,4,4,20,0,1,3,25,1,4,6,28,1,2,30,68,2,14,15,20,0,1,-1683,0.0,33,3,0,36,0,0,0
3,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,61,0,0,0,0,0,0,0,0,0,6,21,0,6,2,24,0,2,26,65,0,11,11,0,0,0,-2622,0.0,52,2,0,54,0,0,0
4,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,40,46,7,16,2,1,6,14,0,0,6,11,0,0,2,18,0,3,31,78,2,10,15,14,0,0,-3269,0.0,15,4,2475,19,0,0,0
5,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,22,50,7,20,3,3,4,13,0,0,1,9,0,3,1,8,0,0,22,58,4,8,14,13,0,0,-211,0.0,4,1,0,5,0,0,0
6,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,22,13,1,7,0,1,1,1,0,2,1,7,0,2,4,7,0,1,23,64,2,9,13,1,0,2,-1540,0.0,16,1,729,17,0,0,0
7,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,59,63,10,25,0,3,2,21,0,2,4,17,3,0,2,30,0,3,25,68,1,8,13,21,0,3,-1027,0.0,19,7,0,26,0,0,0
8,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,86,11,1,3,0,1,1,5,0,0,3,37,2,0,9,35,0,0,20,68,0,6,11,5,0,0,-4431,0.0,66,1,1120,67,0,0,0
9,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,65,65,5,26,0,4,3,24,0,3,4,31,0,2,5,21,0,2,18,81,0,8,10,24,0,3,-2405,0.0,21,6,1289,27,0,0,0
10,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,70,28,6,9,0,2,1,9,0,1,6,27,0,9,7,19,2,0,19,70,0,6,7,9,0,1,-2690,0.0,48,0,290,48,0,0,0
11,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,31,44,7,17,1,3,4,12,0,0,2,14,1,3,2,9,0,0,24,80,1,7,8,12,0,0,-1384,0.0,10,2,862,12,0,0,0
12,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,20,33,5,18,0,0,2,7,0,1,0,3,5,1,3,5,0,3,24,73,1,4,8,7,0,1,-568,0.0,9,5,63,14,0,0,0
13,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,22,21,4,9,0,1,1,6,0,0,3,10,0,4,1,4,0,0,26,79,1,5,8,6,0,0,-1166,0.0,11,0,616,11,0,0,0
14,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,30,48,5,22,2,1,2,16,0,0,1,9,1,4,3,12,0,0,27,75,2,6,9,16,0,0,-819,0.0,7,4,425,11,0,0,0
15,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,48,20,5,4,1,2,1,7,0,0,5,20,2,0,6,13,0,2,26,70,1,7,9,7,0,0,-2663,0.0,29,3,1180,32,0,0,0
16,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0.4,0.001,0.99,50,54,58,11,21,1,6,4,15,0,0,2,17,1,3,0,30,0,1,30,74,1,8,10,15,0,0,-2342,0.0,24,3,1109,27,0,0,0
