day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,82,150,20,57,2,6,14,46,2,3,13,25,4,4,4,28,1,3,20,57,2,6,14,46,2,3,-1911,0.0,38,1,0,39,0,0,0
1,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,44,0,0,0,0,0,0,0,0,0,1,15,1,5,3,16,0,3,16,48,0,0,1,41,0,0,-1611,0.0,32,1,0,33,0,0,0
2,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,96,56,8,27,0,2,1,17,1,0,2,40,5,10,4,26,0,9,19,73,0,2,1,54,1,0,-3222,0.0,64,2,0,66,0,0,0
3,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,74,0,0,0,0,0,0,0,0,0,7,38,0,5,1,23,0,0,7,61,0,0,0,50,0,0,-2411,0.0,48,1,0,49,0,0,0
4,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,91,58,12,26,1,1,3,15,0,0,10,34,0,2,8,31,4,2,13,76,1,1,3,56,0,0,-6129,0.0,53,2,3457,55,0,0,0
5,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,28,22,2,5,0,4,1,10,0,0,0,15,0,4,0,9,0,0,3,58,0,4,1,42,0,0,-811,0.0,16,1,0,17,0,0,0
6,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,19,39,13,6,0,1,3,15,0,1,0,12,0,0,3,4,0,0,13,61,0,1,3,56,0,1,-1348,0.0,12,1,737,13,0,0,0
7,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,42,24,4,8,0,2,2,6,0,2,1,15,0,2,0,20,1,3,17,45,0,2,3,46,0,2,-1161,0.0,23,1,0,24,0,0,0
8,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,45,36,4,17,0,2,2,11,0,0,1,24,0,1,1,18,0,0,15,59,0,2,2,54,0,0,-2861,0.0,28,0,1461,28,0,0,0
9,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,89,31,2,13,1,5,0,9,0,1,3,30,0,16,7,31,0,2,11,49,1,5,0,51,0,1,-3730,0.0,60,1,719,61,0,0,0
10,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,55,39,7,17,0,3,3,9,0,0,5,20,0,10,1,17,0,2,11,59,0,3,3,50,0,0,-2351,0.0,32,0,751,32,0,0,0
11,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,53,26,3,9,0,3,4,7,0,0,1,18,2,4,3,24,1,0,8,62,0,3,4,42,0,0,-1859,0.0,31,1,298,32,0,0,0
12,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,30,36,3,9,1,2,4,17,0,0,0,12,0,2,0,12,2,2,8,63,1,2,4,53,0,0,-1563,0.0,17,0,713,17,0,0,0
13,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,54,25,4,7,0,1,1,11,0,1,10,20,0,5,3,14,0,2,10,55,0,1,1,53,0,1,-2852,0.0,36,0,1052,36,0,0,0
14,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,51,46,5,17,0,5,6,13,0,0,8,23,1,4,2,13,0,0,5,59,0,5,6,57,0,0,-2486,0.0,28,0,1086,28,0,0,0
15,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,58,22,1,11,1,1,2,6,0,0,5,25,2,3,2,17,0,4,5,53,1,1,2,54,0,0,-2448,0.0,38,1,537,39,0,0,0
16,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,49,39,6,18,0,0,1,12,0,2,2,21,0,9,3,14,0,0,8,62,0,0,1,59,0,2,-3002,0.0,38,0,1102,38,0,0,0
17,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,49,11,3,2,0,0,1,5,0,0,3,18,0,4,1,17,2,4,11,55,0,0,1,47,0,0,-2496,0.0,36,1,685,37,0,0,0
18,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,54,49,8,19,0,3,4,13,0,2,5,19,0,2,7,19,0,2,15,67,0,3,4,49,0,2,-2785,0.0,28,1,1374,29,0,0,0
19,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,19,16,0,10,1,0,2,3,0,0,6,3,0,1,4,5,0,0,8,60,1,0,2,39,0,0,-890,0.0,12,0,290,12,0,0,0
20,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,57,48,5,23,0,3,2,15,0,0,2,23,4,4,2,22,0,0,10,72,0,3,3,48,0,0,-3247,0.0,36,3,1414,39,0,0,0
21,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,70,12,2,3,0,1,1,5,0,0,5,19,0,10,3,29,0,4,7,57,0,1,1,41,0,0,-2627,0.0,48,1,216,49,0,0,0
22,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,145,57,8,22,1,5,3,18,0,0,14,46,2,5,11,62,3,2,8,71,1,5,3,54,0,0,-7030,0.0,100,4,1986,104,0,0,0
23,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,118,14,3,3,0,1,2,5,0,0,11,46,0,0,11,50,0,0,3,61,0,1,2,43,0,0,-5373,0.0,91,0,823,91,0,0,0
24,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,108,62,9,19,0,5,6,21,1,1,5,29,3,13,9,42,0,7,9,70,0,5,6,50,1,1,-5517,0.0,68,1,2106,69,0,0,0
25,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,39,25,5,6,0,2,3,7,0,2,0,6,2,4,2,22,0,3,5,53,0,2,3,45,0,2,-1262,0.0,24,3,29,27,0,0,0
26,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,33,41,4,13,0,1,2,21,0,0,2,14,0,1,2,11,0,3,5,63,0,1,2,65,0,0,-2364,0.0,26,0,1064,26,0,0,0
27,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,37,13,1,3,0,2,1,5,0,1,1,11,1,2,3,16,0,3,5,44,0,2,1,59,0,1,-1281,0.0,22,0,181,22,0,0,0
28,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,70,47,12,9,1,3,4,15,0,3,3,19,1,5,5,35,0,2,13,48,1,3,4,69,0,3,-3939,0.0,36,1,2128,37,0,0,0
29,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,60,33,4,12,0,4,7,6,0,0,2,26,0,4,1,18,0,9,11,43,0,4,7,54,0,0,-2134,0.0,34,0,434,34,0,0,0
30,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,82,38,9,13,0,3,8,4,0,1,8,29,0,6,5,30,0,4,17,50,0,3,9,47,0,1,-3949,0.0,45,0,1699,45,0,0,0
31,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,89,47,9,16,0,5,4,13,0,0,9,22,0,16,10,28,0,4,19,53,0,5,4,43,0,0,-2937,0.0,55,0,187,55,0,0,0
32,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,46,22,3,8,1,0,1,8,0,1,3,27,1,1,2,11,0,1,12,53,1,0,1,44,0,1,-2302,0.0,32,0,702,32,0,0,0
33,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,23,46,12,14,0,4,2,13,0,1,0,15,0,1,0,7,0,0,17,63,0,4,2,44,0,1,-965,0.0,12,0,365,12,0,0,0
34,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,33,6,1,0,1,0,0,3,0,1,0,12,0,4,2,11,0,4,17,51,1,0,0,41,0,1,-1690,0.0,24,1,479,25,0,0,0
35,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,55,56,10,24,0,2,6,14,0,0,4,27,0,1,6,17,0,0,25,62,0,2,6,51,0,0,-3321,0.0,39,0,1371,39,0,0,0
36,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,61,0,0,0,0,0,0,0,0,0,4,18,2,4,9,23,1,0,25,46,0,0,0,38,0,0,-3076,0.0,47,1,715,48,0,0,0
37,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,72,63,16,14,2,3,5,21,0,2,8,26,2,5,11,18,0,2,35,52,2,3,5,51,0,2,-3059,0.0,31,5,1454,36,0,0,0
38,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,78,0,0,0,0,0,0,0,0,0,0,32,0,7,6,31,1,1,26,38,0,0,0,38,0,0,-3158,0.0,60,1,147,61,0,0,0
39,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,79,66,12,26,0,4,6,16,1,1,5,29,0,12,5,25,0,3,34,57,0,4,6,47,1,1,-4323,0.0,47,1,1962,48,0,0,0
40,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,0.8,0.001,0.99,50,28,0,0,0,0,0,0,0,0,0,2,13,0,4,2,6,0,1,28,40,0,0,0,37,0,0,-961,0.0,19,1,0,20,0,0,0
