day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,32,0,0,0,0,0,0,0,0,0,2,10,2,3,1,9,0,5,13,49,0,6,8,43,0,0,-3694,0,73,4,0,77,0,0,0
1,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,71,38,8,10,0,4,4,12,0,0,7,28,2,4,2,26,0,2,18,59,0,9,10,54,0,0,-1250,0,25,0,0,25,0,0,0
2,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,56,0,0,0,0,0,0,0,0,0,5,23,0,1,10,16,0,1,17,55,0,7,8,51,0,0,-2972,0,59,2,0,61,0,0,0
3,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,52,24,4,7,0,2,2,9,0,0,6,20,0,7,2,13,2,2,16,62,0,5,9,58,0,0,-2233,0,44,3,0,47,0,0,0
4,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,26,68,12,29,0,2,4,19,0,2,0,7,1,0,4,9,0,5,24,46,0,4,10,40,0,2,-6285,0,39,2,4313,41,0,0,0
5,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,34,0,0,0,0,0,0,0,0,0,0,14,0,2,2,13,0,3,24,44,0,3,9,38,0,0,-911,0,18,1,0,19,0,0,0
6,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,40,62,8,22,0,2,6,20,1,3,5,10,0,2,7,15,0,1,24,58,0,4,12,48,1,3,-2441,0,30,0,941,30,0,0,0
7,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,61,0,0,0,0,0,0,0,0,0,2,14,2,8,8,23,0,4,23,57,0,3,10,46,0,0,-1472,0,29,2,0,31,0,0,0
8,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,45,29,5,13,1,2,1,7,0,0,2,19,0,2,0,22,0,0,25,64,1,4,10,46,0,0,-3458,0,53,1,797,54,0,0,0
9,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,58,34,3,12,0,1,2,15,0,1,4,21,0,5,7,21,0,0,16,47,1,5,9,42,0,1,-4375,0,35,0,2625,35,0,0,0
10,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,34,13,2,3,0,1,3,4,0,0,3,15,0,2,4,8,2,0,13,48,0,2,10,44,0,0,-2094,0,41,4,0,45,0,0,0
11,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,18,66,10,21,2,3,4,26,0,0,0,8,0,1,0,9,0,0,20,49,2,4,10,52,0,0,-2562,0,23,0,1412,23,0,0,0
12,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,31,0,0,0,0,0,0,0,0,0,2,15,1,1,5,7,0,0,20,48,1,3,10,52,0,0,-750,0,15,0,0,15,0,0,0
13,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,43,46,8,19,2,3,0,12,0,2,0,15,1,5,3,17,0,2,23,55,2,3,8,57,0,2,-1888,0,23,1,727,24,0,0,0
14,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,60,0,0,0,0,0,0,0,0,0,6,11,0,5,7,23,2,6,20,43,0,0,7,42,0,0,-2828,0,31,4,1234,35,0,0,0
15,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,73,53,9,20,0,2,3,19,0,0,4,31,2,9,2,24,0,1,24,60,0,2,7,57,0,0,-2897,0,49,1,436,50,0,0,0
16,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,62,9,0,3,1,2,1,2,0,0,9,24,0,4,3,18,0,4,17,42,1,2,4,33,0,0,-6399,0,56,0,3599,56,0,0,0
17,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,35,59,5,23,0,4,2,24,0,1,1,15,0,0,4,15,0,0,19,64,0,4,2,55,0,1,-2461,0,49,1,0,50,0,0,0
18,True,reg_19,request_scratch,cau100_afr0_asi0_19,regional_19,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,17,0,0,0,0,0,0,0,0,0,0,8,2,2,0,5,0,0,14,46,0,2,0,45,0,0,-2465,0,27,1,1104,28,0,0,0
