day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,45,0,0,0,0,0,0,0,0,0,2,16,0,4,6,17,0,0,18,46,0,2,13,50,0,0,-1944,0,38,4,0,42,0,0,0
1,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,68,27,6,8,0,2,1,10,0,0,8,23,0,1,6,29,1,0,22,54,0,2,13,59,0,0,-1961,0,39,1,0,40,0,0,0
2,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,61,0,0,0,0,0,0,0,0,0,3,19,0,5,5,26,0,3,17,54,0,0,12,55,0,0,-2800,0,56,0,0,56,0,0,0
3,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,65,28,3,17,0,2,3,3,0,0,2,26,0,7,2,22,0,6,17,68,0,2,9,54,0,0,-2250,0,45,0,0,45,0,0,0
4,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,21,73,11,26,0,7,7,21,0,1,0,4,1,4,4,8,0,0,20,51,0,7,11,34,0,1,-9009,0,58,0,6109,58,0,0,0
5,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,33,0,0,0,0,0,0,0,0,0,0,10,0,4,3,16,0,0,20,51,0,7,10,34,0,0,-950,0,19,0,0,19,0,0,0
6,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,57,58,8,14,1,4,3,25,1,2,4,24,0,4,0,23,2,0,22,57,1,6,12,49,1,2,-1950,0,24,1,739,25,0,0,0
7,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,114,0,0,0,0,0,0,0,0,0,13,50,1,8,11,29,2,0,22,55,0,2,11,44,0,0,-2072,0,41,2,0,43,0,0,0
8,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,103,46,7,18,1,5,2,12,0,1,16,35,1,7,2,28,2,12,22,58,1,5,12,51,0,1,-6196,0,92,4,1552,96,0,0,0
9,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,62,26,5,10,0,1,0,9,0,1,3,26,0,1,9,20,1,2,16,42,0,1,5,46,0,1,-8026,0,71,2,4454,73,0,0,0
10,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,45,28,3,12,0,1,1,9,0,2,0,20,2,3,0,20,0,0,16,51,0,1,3,53,0,2,-2483,0,49,3,0,52,0,0,0
11,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,35,40,9,13,1,3,4,8,1,1,7,20,0,3,1,4,0,0,23,53,1,4,4,38,1,1,-3155,0,34,0,1455,34,0,0,0
12,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,25,0,0,0,0,0,0,0,0,0,0,9,0,1,6,5,0,4,21,53,0,3,4,35,0,0,-1300,0,26,0,0,26,0,0,0
13,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,46,67,12,21,0,1,8,24,1,0,0,21,0,2,4,19,0,0,29,56,0,2,12,50,1,0,-1825,0,21,1,764,22,0,0,0
14,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,44,0,0,0,0,0,0,0,0,0,1,11,0,8,2,20,2,0,24,46,0,2,11,41,0,0,-3209,0,43,0,1059,43,0,0,0
15,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,50,53,11,24,0,2,5,11,0,0,1,24,0,4,2,11,0,8,32,58,0,3,14,43,0,0,-2857,0,38,1,946,39,0,0,0
16,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,37,0,0,0,0,0,0,0,0,0,3,9,0,5,2,11,0,7,23,45,0,2,13,35,0,0,-3373,0,41,0,1323,41,0,0,0
17,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.34672578649109115,0.012480020972222375,0.5,50,32,40,7,12,0,1,4,16,0,0,5,14,0,2,1,6,0,4,29,54,0,2,17,48,0,0,-1461,0,29,1,0,30,0,0,0
