day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,71,150,31,51,2,7,11,43,0,5,3,34,0,7,3,22,0,2,31,51,2,7,11,43,0,5,-2144,0.0,42,4,0,46,0,0,0
1,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,44,0,0,0,0,0,0,0,0,0,1,25,0,1,4,11,0,2,24,47,0,6,6,38,0,0,-1472,0.0,29,2,0,31,0,0,0
2,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,113,44,5,21,0,2,2,14,0,0,10,44,0,13,6,31,3,6,25,65,0,3,6,51,0,0,-4200,0.0,84,0,0,84,0,0,0
3,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,99,0,0,0,0,0,0,0,0,0,5,45,0,2,4,37,2,4,18,59,0,0,0,44,0,0,-3611,0.0,72,1,0,73,0,0,0
4,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,56,56,10,23,1,4,2,16,0,0,2,16,0,3,4,27,2,2,22,72,1,4,2,49,0,0,-4478,0.0,38,0,2578,38,0,0,0
5,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,25,6,1,4,0,0,0,1,0,0,1,16,0,0,0,4,0,4,16,48,0,3,0,31,0,0,-1011,0.0,20,1,0,21,0,0,0
6,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,22,51,7,18,0,4,4,16,0,2,0,9,0,2,4,7,0,0,22,64,0,6,4,46,0,2,-1384,0.0,12,3,751,15,0,0,0
7,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,53,1,0,1,0,0,0,0,0,0,0,14,2,6,2,27,0,2,18,46,0,2,3,33,0,1,-1772,0.0,35,2,0,37,0,0,0
8,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,66,64,11,18,2,3,3,25,1,1,1,31,0,8,4,19,0,3,29,58,2,3,3,52,1,1,-4253,0.0,44,1,2042,45,0,0,0
9,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,78,0,0,0,0,0,0,0,0,0,7,26,1,8,2,30,2,2,19,41,0,0,2,42,0,0,-3025,0.0,56,1,214,57,0,0,0
10,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,75,68,9,25,0,0,4,29,0,1,2,17,2,19,8,25,0,2,19,62,0,0,4,64,0,1,-4623,0.0,56,0,1823,56,0,0,0
11,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,57,0,0,0,0,0,0,0,0,0,2,15,2,6,9,19,0,4,12,44,0,0,0,54,0,0,-2339,0.0,46,1,28,47,0,0,0
12,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,34,51,8,23,1,0,5,13,1,0,0,13,0,4,6,5,4,2,12,65,1,0,5,66,1,0,-2363,0.0,21,1,1302,22,0,0,0
13,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,23,5,2,0,0,2,0,1,0,0,2,5,4,4,1,7,0,0,13,48,0,2,0,43,0,0,-811,0.0,16,1,0,17,0,0,0
14,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,62,47,10,14,0,6,2,15,0,0,5,25,1,12,2,15,0,2,22,60,0,7,2,55,0,0,-5085,0.0,47,0,2735,47,0,0,0
15,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,69,14,2,3,1,0,1,6,0,1,7,30,0,0,3,25,2,2,20,40,1,7,1,35,0,1,-2344,0.0,46,4,0,50,0,0,0
16,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,76,57,10,23,2,4,2,14,0,2,2,30,1,4,13,21,0,5,25,58,2,5,2,45,0,2,-3888,0.0,47,3,1505,50,0,0,0
17,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,94,5,2,2,0,0,0,1,0,0,4,30,1,9,12,38,0,0,23,42,0,1,0,36,0,0,-3783,0.0,75,3,0,78,0,0,0
18,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,55,62,8,17,0,3,6,24,2,2,3,13,0,10,5,24,0,0,25,53,0,3,6,54,2,2,-2084,0.0,29,4,590,33,0,0,0
19,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,23,0,0,0,0,0,0,0,0,0,4,8,0,2,0,9,0,0,22,45,0,0,3,45,0,0,-876,0.0,14,0,176,14,0,0,0
20,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,33,49,12,18,0,1,1,16,0,1,0,8,0,0,4,21,0,0,32,60,0,1,1,55,0,1,-2508,0.0,21,2,1436,23,0,0,0
21,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,67,4,1,1,1,0,0,1,0,0,2,29,0,7,5,22,0,2,23,38,1,0,0,42,0,0,-2966,0.0,57,0,116,57,0,0,0
22,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,116,53,13,8,0,5,3,24,0,0,14,41,2,2,7,48,0,2,31,44,0,5,3,64,0,0,-8023,0.0,87,1,3662,88,0,0,0
23,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,149,12,2,4,0,0,0,6,0,0,4,45,3,1,15,76,0,5,27,31,0,0,0,47,0,0,-5472,0.0,109,2,0,111,0,0,0
24,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,90,73,15,22,1,7,2,23,2,1,1,42,0,6,2,37,0,2,27,40,1,7,2,58,2,1,-3212,0.0,55,5,407,60,0,0,0
25,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,65,0,0,0,0,0,0,0,0,0,5,28,2,4,5,21,0,0,19,34,0,0,0,50,0,0,-2561,0.0,51,1,0,52,0,0,0
26,True,reg_4,request_scratch,cau100_afr0_asi0_4,regional_4,50,150,912,70,0,1,0.01,0.566875,0.01,0.98,50,23,61,11,19,1,3,7,17,2,1,0,7,0,5,2,9,0,0,28,48,1,3,7,60,2,1,-1029,0.0,13,1,368,14,0,0,0
