day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,1.0,0.001,0.5,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,54,2,5,13,44,0,1,0,0,0,0,0,0,0,0
1,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.995,0.001,0.5,50,22,1,0,1,0,0,0,0,0,0,0,12,0,4,3,3,0,0,31,55,2,4,13,44,0,1,-71,1,1,0,2,0,0,0
2,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.990025,0.001,0.5,50,67,17,1,6,1,0,0,9,0,0,10,19,1,14,6,15,0,2,29,60,1,1,7,50,0,1,-240,4,0,0,4,0,0,0
3,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.985074875,0.001,0.5,50,72,15,4,4,0,3,0,4,0,0,1,22,1,8,3,37,0,0,28,52,0,3,0,51,0,0,-2231,37,1,0,38,0,0,0
4,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9801495006250001,0.001,0.5,50,64,40,4,16,1,3,3,13,0,0,3,16,0,7,6,28,2,2,16,60,1,3,3,55,0,0,-2160,36,0,0,36,0,0,0
5,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9752487531218751,0.001,0.5,50,143,11,3,6,0,2,0,0,0,0,3,47,0,19,22,51,0,1,11,57,0,2,0,47,0,0,-1931,32,1,0,33,0,0,0
6,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9703725093562657,0.001,0.5,50,155,80,12,36,3,2,6,21,0,0,6,52,0,20,13,59,0,5,12,67,3,2,6,54,0,0,-5488,90,8,0,98,0,0,0
7,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9655206468094844,0.001,0.5,50,90,20,6,6,0,0,1,7,0,0,2,30,2,3,15,35,1,2,6,47,0,0,1,39,0,0,-5084,84,4,0,88,0,0,0
8,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.960693043575437,0.001,0.5,50,51,64,10,23,2,4,4,21,0,0,7,8,0,5,7,18,0,6,10,67,2,4,4,50,0,0,-4211,70,1,0,71,0,0,0
9,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9558895783575597,0.001,0.5,50,73,0,0,0,0,0,0,0,0,0,3,33,0,11,2,17,4,3,1,59,0,0,0,48,0,0,-1331,22,1,0,23,0,0,0
10,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9511101304657719,0.001,0.5,50,62,58,13,18,3,4,4,15,1,0,2,12,3,7,6,28,2,2,13,71,3,4,4,54,1,0,-3442,57,2,0,59,0,0,0
11,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.946354579813443,0.001,0.5,50,73,0,0,0,0,0,0,0,0,0,7,38,2,6,3,13,0,4,4,65,0,0,0,47,0,0,-1724,28,4,0,32,0,0,0
12,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9416228069143757,0.001,0.5,50,53,55,10,20,0,5,2,18,0,0,1,19,0,4,3,25,0,1,10,75,0,5,2,58,0,0,-3142,52,2,0,54,0,0,0
13,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9369146928798039,0.001,0.5,50,92,0,0,0,0,0,0,0,0,0,5,24,4,7,10,37,2,3,3,68,0,0,0,53,0,0,-1631,27,1,0,28,0,0,0
14,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9322301194154049,0.001,0.5,50,77,47,10,14,1,4,7,10,0,1,2,26,0,6,4,36,1,2,10,72,1,4,7,55,0,1,-4293,71,3,0,74,0,0,0
15,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9275689688183278,0.001,0.5,50,75,15,3,6,0,1,0,4,0,1,13,25,2,5,5,20,0,5,6,72,0,1,0,43,0,1,-2122,35,2,0,37,0,0,0
16,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9229311239742362,0.001,0.5,50,67,40,4,11,3,1,1,19,0,1,4,26,0,0,5,26,0,6,4,74,3,1,1,56,0,1,-3131,52,1,0,53,0,0,0
17,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.918316468354365,0.001,0.5,50,47,10,3,4,0,0,1,2,0,0,2,15,0,1,4,22,1,2,3,68,0,0,1,48,0,0,-2275,37,5,0,42,0,0,0
18,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9137248860125932,0.001,0.5,50,52,43,10,16,0,3,3,9,0,2,2,21,2,3,2,20,0,2,10,72,0,3,3,54,0,2,-1713,28,3,0,31,0,0,0
