day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,1.0,0.001,0.5,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,54,2,5,13,44,0,1,0,0,0,0,0,0,0,0
1,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.995,0.001,0.5,50,22,1,0,1,0,0,0,0,0,0,0,12,0,4,3,3,0,0,31,54,2,5,13,44,0,1,40,1,0,0,1,0,0,0
2,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.990025,0.001,0.5,50,67,16,1,5,1,0,0,9,0,0,10,19,1,14,6,15,0,2,30,56,1,3,8,51,0,0,1378,5,2,0,7,0,0,0
3,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.985074875,0.001,0.5,50,72,21,4,9,0,3,0,5,0,0,1,22,1,8,3,37,0,0,30,56,0,3,0,46,0,0,1536,32,4,0,36,0,0,0
4,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9801495006250001,0.001,0.5,50,64,26,2,8,1,1,3,11,0,0,3,16,0,7,6,28,2,2,22,60,1,1,3,45,0,0,320,43,0,0,43,0,0,0
5,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9752487531218751,0.001,0.5,50,143,24,5,13,0,4,0,2,0,0,3,47,0,19,22,51,0,1,21,69,0,4,0,35,0,0,447,37,3,0,40,0,0,0
6,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9703725093562657,0.001,0.5,50,155,57,9,24,3,1,5,15,0,0,6,52,0,20,13,59,0,5,12,79,3,1,5,32,0,0,-28,89,8,0,97,0,0,0
7,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9655206468094844,0.001,0.5,50,90,67,15,23,0,3,4,22,0,0,2,30,2,3,15,35,1,2,15,70,0,3,4,28,0,0,3252,76,8,0,84,0,0,0
8,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.960693043575437,0.001,0.5,50,51,28,4,13,0,1,2,8,0,0,7,8,0,5,7,18,0,6,13,72,0,1,2,19,0,0,1105,49,5,0,54,0,0,0
9,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9558895783575597,0.001,0.5,50,73,36,6,8,3,3,2,14,0,0,3,33,0,11,2,17,4,3,10,76,3,3,2,31,0,0,-180,33,0,0,33,0,0,0
10,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9511101304657719,0.001,0.5,50,62,43,8,17,2,2,3,10,1,0,2,12,3,7,6,28,2,2,8,85,2,2,3,27,1,0,1987,33,3,0,36,0,0,0
11,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.946354579813443,0.001,0.5,50,73,23,8,8,0,2,0,5,0,0,7,38,2,6,3,13,0,4,8,88,0,2,0,25,0,0,727,34,3,0,37,0,0,0
12,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9416228069143757,0.001,0.5,50,53,42,4,13,1,7,4,12,0,1,1,19,0,4,3,25,0,1,4,97,1,7,4,23,0,1,67,45,3,0,48,0,0,0
13,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,730,70,0,0.995,0.01,0.9369146928798039,0.001,0.5,50,92,14,3,7,0,0,2,2,0,0,5,24,4,7,10,37,2,3,3,97,0,1,2,21,0,0,1107,26,3,0,29,0,0,0
