day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,5,12,9,49,1,3,0,0,0,0,0,0,0,0
1,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,24,2,1,1,0,0,0,0,0,0,1,6,1,6,2,8,0,0,19,52,5,12,9,49,1,3,0,0,0,0,0,0,0,0
2,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,28,20,6,6,0,2,2,4,0,0,0,9,0,2,3,13,0,1,22,55,0,12,8,49,0,2,-255,2,5,0,7,0,0,0
3,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,48,2,1,1,0,0,0,0,0,0,1,26,0,4,2,15,0,0,19,53,0,8,6,44,0,0,-844,8,4,0,12,0,0,0
4,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,59,48,9,20,1,4,1,13,0,0,5,21,0,4,10,19,0,0,17,64,1,8,5,53,0,0,-1811,18,1,0,19,0,0,0
5,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,104,0,0,0,0,0,0,0,0,0,10,39,3,3,19,23,0,7,11,55,0,3,0,45,0,0,-2577,25,7,0,32,0,0,0
6,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,116,68,6,21,2,6,4,28,0,1,3,45,4,12,9,37,0,6,8,66,2,6,4,63,0,1,-7244,72,4,0,76,0,0,0
7,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,47,0,0,0,0,0,0,0,0,0,0,22,0,0,3,15,4,3,0,48,0,0,0,54,0,0,-6811,68,1,0,69,0,0,0
8,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,35,56,9,21,1,1,3,19,0,2,5,13,2,3,0,12,0,0,9,63,1,1,3,71,0,2,-3900,39,0,0,39,0,0,0
9,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,23,0,0,0,0,0,0,0,0,0,1,11,0,2,0,9,0,0,5,57,0,0,0,65,0,0,-1211,12,1,0,13,0,0,0
10,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,730,70,0,0.98,0.01,0.98,0.001,0.5,50,40,33,6,8,1,1,4,13,0,0,2,20,1,1,3,11,0,2,8,60,1,1,4,76,0,0,-1300,13,0,0,13,0,0,0
