day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,1.0,0.01,0.5,50,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,59,0,9,8,55,2,3,0,0,0,0,0,0,0,0
1,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.995,0.01,0.5,50,24,4,0,2,0,0,1,1,0,0,3,8,0,0,0,13,0,0,12,61,0,9,9,56,2,1,0,0,0,0,0,0,0,0
2,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.990025,0.01,0.5,50,53,14,2,1,0,3,2,6,0,0,3,23,0,3,4,18,0,2,10,61,0,8,6,61,0,0,-415,6,5,0,11,0,0,0
3,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.985074875,0.01,0.5,50,44,26,5,11,1,0,1,7,0,1,1,16,2,5,2,18,0,0,8,65,1,0,3,61,0,1,-1255,20,5,0,25,0,0,0
4,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9801495006250001,0.01,0.5,50,44,15,4,5,0,0,2,4,0,0,3,13,0,10,2,15,1,0,5,64,0,0,2,60,0,0,-1271,21,1,0,22,0,0,0
5,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9752487531218751,0.01,0.5,50,137,23,5,8,2,1,1,6,0,0,5,45,3,19,16,45,0,4,5,69,2,1,1,63,0,0,-1860,31,0,0,31,0,0,0
6,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9703725093562657,0.01,0.5,50,143,26,4,16,0,2,1,3,0,0,12,56,4,9,17,33,4,8,4,72,0,2,1,57,0,0,-6382,106,2,0,108,0,0,0
7,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9655206468094844,0.01,0.5,50,49,37,6,11,0,4,1,14,0,1,5,13,0,9,5,16,0,1,6,66,0,4,1,53,0,1,-6115,101,5,0,106,0,0,0
8,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.960693043575437,0.01,0.5,50,43,22,3,9,0,2,2,6,0,0,1,10,0,5,6,21,0,0,3,71,0,2,2,47,0,0,-1293,21,3,0,24,0,0,0
9,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9558895783575597,0.01,0.5,50,38,30,6,13,2,1,2,6,0,0,0,10,1,6,9,10,0,2,6,76,2,1,2,48,0,0,-1413,23,3,0,26,0,0,0
10,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9511101304657719,0.01,0.5,50,60,18,1,10,2,0,1,3,0,1,4,22,0,5,5,21,0,3,1,82,2,0,1,44,0,1,-1004,16,4,0,20,0,0,0
11,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.946354579813443,0.01,0.5,50,58,29,4,12,0,2,0,11,0,0,7,19,0,5,3,21,0,3,4,87,0,2,0,44,0,0,-2220,37,0,0,37,0,0,0
12,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9416228069143757,0.01,0.5,50,46,9,1,4,0,2,0,2,0,0,4,10,0,2,2,21,0,7,1,83,0,2,0,41,0,0,-2340,39,0,0,39,0,0,0
13,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9369146928798039,0.01,0.5,50,40,32,4,8,0,3,0,16,0,1,4,10,0,4,3,19,0,0,4,83,0,3,0,53,0,1,-1882,31,2,0,33,0,0,0
14,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9322301194154049,0.01,0.5,50,67,2,0,2,0,0,0,0,0,0,6,26,4,9,1,14,1,6,1,76,0,0,0,48,0,0,-1151,19,1,0,20,0,0,0
15,True,reg_26,request_scratch,cau100_afr0_asi0_26,regional_26,50,150,730,70,0,0.995,0.01,0.9275689688183278,0.01,0.5,50,49,38,4,17,0,2,1,13,0,1,2,12,0,0,14,18,0,3,4,86,0,2,1,54,0,1,-3153,52,3,0,55,0,0,0
