day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,61,2,7,14,44,2,2,0,0,0,0,0,0,0,0
1,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,18,4,0,2,0,1,0,1,0,0,4,7,0,2,0,5,0,0,14,63,2,8,14,45,2,2,0,0,0,0,0,0,0,0
2,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,42,11,2,2,0,0,0,6,0,1,2,22,0,0,1,14,0,3,14,64,0,7,11,49,0,1,-172,3,2,0,5,0,0,0
3,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,36,30,5,12,0,3,1,8,1,0,3,11,2,3,5,12,0,0,11,70,0,4,6,48,1,0,-300,6,0,0,6,0,0,0
4,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,93,17,3,7,1,1,0,5,0,0,4,40,0,7,11,31,0,0,7,71,1,1,0,46,0,0,-261,5,1,0,6,0,0,0
5,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,51,98,10,37,2,8,9,30,0,2,2,21,0,4,5,18,0,1,10,68,2,8,9,39,0,2,-471,7,11,0,18,0,0,0
6,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,149,0,0,0,0,0,0,0,0,0,13,56,2,10,13,48,1,6,0,60,0,0,0,33,0,0,-333,6,3,0,9,0,0,0
7,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,40,150,20,63,1,9,7,46,0,4,3,15,0,5,2,15,0,0,20,63,1,9,7,46,0,4,-2943,56,13,0,69,0,0,0
8,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,49,0,0,0,0,0,0,0,0,0,3,12,0,9,2,22,0,1,14,55,0,1,4,41,0,0,-316,5,6,0,11,0,0,0
9,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,44,74,12,29,0,4,4,24,1,0,6,17,2,0,3,12,0,4,12,76,0,4,4,53,1,0,-511,10,1,0,11,0,0,0
10,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,37,0,0,0,0,0,0,0,0,0,4,15,1,5,3,7,2,0,1,66,0,0,0,41,0,0,-144,2,4,0,6,0,0,0
11,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,40,79,12,31,2,1,8,22,3,0,7,18,0,4,1,9,0,1,12,73,2,1,8,51,3,0,-66,0,6,0,6,0,0,0
12,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,51,0,0,0,0,0,0,0,0,0,1,12,8,4,4,21,0,1,4,65,0,0,0,44,0,0,-150,3,0,0,3,0,0,0
13,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,45,88,15,33,1,8,5,25,0,1,4,15,0,4,7,15,0,0,15,69,1,8,5,51,0,1,-132,0,12,0,12,0,0,0
14,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,43,0,0,0,0,0,0,0,0,0,2,15,0,3,3,20,0,0,5,60,0,0,0,41,0,0,-83,1,3,0,4,0,0,0
15,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,34,83,10,34,1,8,4,24,1,1,0,12,0,4,2,15,0,1,10,72,1,8,4,53,1,1,-222,4,2,0,6,0,0,0
16,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,69,0,0,0,0,0,0,0,0,0,5,27,2,5,3,22,0,5,6,67,0,3,2,45,0,0,-394,7,4,0,11,0,0,0
17,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,63,94,14,34,2,3,7,32,1,1,8,20,0,5,6,23,1,0,14,67,2,3,7,55,1,1,-155,2,5,0,7,0,0,0
18,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,34,0,0,0,0,0,0,0,0,0,3,17,0,0,0,12,0,2,0,50,0,0,0,43,0,0,-333,6,3,0,9,0,0,0
19,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,32,91,15,36,3,5,7,24,1,0,0,8,2,8,3,10,0,1,15,67,3,5,7,52,1,0,0,0,0,0,0,0,0,0
20,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,44,0,0,0,0,0,0,0,0,0,0,14,0,5,4,18,2,1,12,61,0,0,5,45,0,0,-283,5,3,0,8,0,0,0
21,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,35,63,7,23,1,6,4,19,0,3,0,22,0,0,2,11,0,0,12,74,1,6,4,50,0,3,-422,8,2,0,10,0,0,0
22,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,58,0,0,0,0,0,0,0,0,0,2,29,0,6,4,17,0,0,8,68,0,0,0,43,0,0,-244,4,4,0,8,0,0,0
23,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,57,87,10,33,1,2,6,33,0,2,8,17,5,9,0,18,0,0,10,71,1,2,6,58,0,2,-144,2,4,0,6,0,0,0
24,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,56,0,0,0,0,0,0,0,0,0,11,12,0,1,6,26,0,0,0,54,0,0,0,42,0,0,-194,3,4,0,7,0,0,0
25,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,65,110,12,38,2,8,9,37,2,2,11,25,3,2,3,20,1,0,12,59,2,8,9,56,2,2,-66,0,6,0,6,0,0,0
26,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,52,0,0,0,0,0,0,0,0,0,1,14,0,6,2,25,2,2,0,48,0,0,4,40,0,0,-394,7,4,0,11,0,0,0
27,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,62,109,18,31,4,9,5,40,0,2,0,17,2,7,8,24,0,4,18,52,4,9,5,60,0,2,-94,1,4,0,5,0,0,0
28,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,56,0,0,0,0,0,0,0,0,0,3,26,0,3,5,14,0,5,11,42,0,0,0,43,0,0,-488,8,8,0,16,0,0,0
29,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,61,101,15,37,2,2,8,33,2,2,0,25,0,7,11,18,0,0,15,60,2,2,8,59,2,2,-494,9,4,0,13,0,0,0
30,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,45,0,0,0,0,0,0,0,0,0,2,28,0,2,0,13,0,0,0,46,0,0,0,48,0,0,-294,5,4,0,9,0,0,0
31,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,40,101,18,41,1,2,5,29,1,4,2,12,0,2,6,18,0,0,18,64,1,2,5,55,1,4,0,0,0,0,0,0,0,0
32,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,57,0,0,0,0,0,0,0,0,0,1,16,2,4,3,30,0,1,9,56,0,0,0,46,0,0,-94,1,4,0,5,0,0,0
33,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,91,92,12,35,0,2,13,27,1,2,12,29,0,5,1,32,4,8,12,67,0,2,13,53,1,2,-222,4,2,0,6,0,0,0
34,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,40,21,2,12,1,0,2,4,0,0,6,11,2,0,0,21,0,0,2,50,1,0,2,33,0,0,-455,8,5,0,13,0,0,0
35,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,54,75,7,27,4,2,10,24,0,1,6,17,2,5,7,16,0,1,7,64,4,2,10,46,0,1,-561,11,1,0,12,0,0,0
36,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,57,12,5,2,0,0,1,4,0,0,4,22,0,6,8,15,0,2,8,49,0,0,1,38,0,0,-255,4,5,0,9,0,0,0
37,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,50,99,20,35,1,4,13,25,0,1,2,21,4,4,1,18,0,0,20,64,1,4,13,41,0,1,-366,6,6,0,12,0,0,0
38,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,54,0,0,0,0,0,0,0,0,0,4,12,0,9,3,23,2,1,3,57,0,0,6,30,0,0,-133,2,3,0,5,0,0,0
39,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,36,101,17,46,1,3,5,27,0,2,0,16,1,0,5,12,0,2,17,80,1,3,5,42,0,2,-383,7,3,0,10,0,0,0
40,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,47,0,0,0,0,0,0,0,0,0,5,18,0,2,5,17,0,0,12,71,0,0,0,36,0,0,-283,5,3,0,8,0,0,0
41,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,44,72,11,33,2,0,6,19,0,1,1,11,0,2,5,25,0,0,11,90,2,0,6,40,0,1,-311,6,1,0,7,0,0,0
42,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,57,0,0,0,0,0,0,0,0,0,4,27,4,2,0,18,0,2,5,80,0,0,1,25,0,0,-272,5,2,0,7,0,0,0
43,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,47,94,13,32,4,5,9,30,0,1,6,13,5,1,6,13,0,3,13,79,4,5,9,39,0,1,-144,2,4,0,6,0,0,0
44,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,30,0,0,0,0,0,0,0,0,0,3,13,0,2,0,12,0,0,9,69,0,0,0,26,0,0,-149,1,9,0,10,0,0,0
45,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,64,73,8,27,2,5,9,20,0,2,4,21,0,5,4,25,0,5,9,88,2,5,9,35,0,2,-150,3,0,0,3,0,0,0
46,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,46,14,3,4,1,0,1,5,0,0,5,19,0,3,5,14,0,0,3,73,1,0,1,25,0,0,-161,3,1,0,4,0,0,0
47,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,29,84,6,36,3,5,8,22,1,3,0,9,0,2,2,16,0,0,6,86,3,5,8,29,1,3,-55,0,5,0,5,0,0,0
48,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,42,0,0,0,0,0,0,0,0,0,4,19,0,2,1,15,0,1,3,83,0,0,4,23,0,0,-127,1,7,0,8,0,0,0
49,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,52,74,13,25,2,6,7,20,1,0,1,30,0,6,1,11,0,3,13,93,2,6,7,28,1,0,-261,5,1,0,6,0,0,0
50,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,34,0,0,0,0,0,0,0,0,0,3,13,0,2,2,14,0,0,4,83,0,0,0,18,0,0,-361,7,1,0,8,0,0,0
51,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,49,78,15,32,1,10,1,18,0,1,4,26,0,4,4,8,1,2,15,96,1,10,1,26,0,1,-72,1,2,0,3,0,0,0
52,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,33,0,0,0,0,0,0,0,0,0,4,14,0,6,0,8,0,1,8,81,0,2,0,18,0,0,-444,8,4,0,12,0,0,0
53,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,40,68,8,26,0,6,5,23,0,0,5,12,0,3,3,16,0,1,9,100,0,6,5,30,0,0,-300,6,0,0,6,0,0,0
54,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,29,0,0,0,0,0,0,0,0,0,2,12,0,4,0,8,0,3,1,93,0,0,2,21,0,0,-383,7,3,0,10,0,0,0
55,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,38,59,13,20,0,4,4,18,0,0,2,7,6,1,1,19,2,0,13,94,0,4,4,35,0,0,-150,3,0,0,3,0,0,0
56,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,36,0,0,0,0,0,0,0,0,0,1,20,2,3,3,7,0,0,10,83,0,0,0,29,0,0,-577,10,7,0,17,0,0,0
57,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,40,59,6,22,4,4,1,22,0,0,2,21,0,2,4,10,1,0,6,98,4,4,1,37,0,0,-272,5,2,0,7,0,0,0
58,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,27,0,0,0,0,0,0,0,0,0,0,6,0,2,4,14,0,1,0,88,0,0,0,25,0,0,-194,3,4,0,7,0,0,0
59,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,43,64,11,22,0,2,4,25,0,0,3,12,0,7,2,14,0,5,11,95,0,2,4,38,0,0,-44,0,4,0,4,0,0,0
60,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,31,0,0,0,0,0,0,0,0,0,1,10,0,0,0,17,0,3,4,84,0,0,0,28,0,0,-472,9,2,0,11,0,0,0
61,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,45,64,9,25,2,3,2,22,0,1,3,16,0,4,2,18,1,1,9,97,2,3,2,36,0,1,-50,1,0,0,1,0,0,0
62,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,39,0,0,0,0,0,0,0,0,0,4,13,0,3,0,16,0,3,3,80,0,0,0,28,0,0,-322,6,2,0,8,0,0,0
63,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,43,73,9,23,1,9,4,24,0,3,8,9,0,5,1,16,2,2,9,89,1,9,4,35,0,3,-250,5,0,0,5,0,0,0
64,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,26,0,0,0,0,0,0,0,0,0,1,10,0,3,1,11,0,0,5,81,0,0,0,30,0,0,-505,9,5,0,14,0,0,0
65,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,30,56,5,25,0,4,4,17,0,1,3,9,0,2,0,13,0,3,5,94,0,4,4,42,0,1,-200,4,0,0,4,0,0,0
66,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,1825,70,0,0.98,0.01,0.8337477621301497,0.001,0.5,50,40,0,0,0,0,0,0,0,0,0,2,18,0,2,1,16,1,0,0,84,0,0,0,39,0,0,-161,3,1,0,4,0,0,0
