day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,39,0,0,0,0,0,0,0,0,0,5,14,0,2,5,12,0,1,18,55,2,5,9,50,0,3,-3550,0,71,0,0,71,0,0,0
1,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,74,9,1,3,0,0,1,4,0,0,1,26,1,3,5,35,0,3,19,58,1,5,10,54,0,3,-1900,0,38,0,0,38,0,0,0
2,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,31,0,0,0,0,0,0,0,0,0,0,16,0,2,0,13,0,0,19,55,0,5,9,54,0,2,-3400,0,68,0,0,68,0,0,0
3,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,43,8,2,4,0,1,0,1,0,0,7,11,0,2,2,19,0,2,21,59,0,5,8,55,0,2,-1461,0,29,1,0,30,0,0,0
4,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,40,125,16,50,1,10,9,33,2,4,5,6,0,4,4,13,2,6,19,57,1,11,10,38,2,4,-7675,0,40,2,5653,42,0,0,0
5,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,35,0,0,0,0,0,0,0,0,0,6,15,0,3,1,8,2,0,19,57,0,10,9,37,0,4,-1722,0,34,2,0,36,0,0,0
6,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,51,23,6,10,0,0,3,4,0,0,3,17,0,4,1,26,0,0,24,64,0,9,11,38,0,4,-1895,0,33,0,245,33,0,0,0
7,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,68,0,0,0,0,0,0,0,0,0,6,18,2,8,7,20,0,7,23,63,0,6,10,38,0,4,-2272,0,45,2,0,47,0,0,0
8,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,45,15,1,7,0,0,0,7,0,0,0,11,4,3,7,19,0,1,23,67,0,4,10,44,0,2,-3551,0,64,1,340,65,0,0,0
9,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,44,97,18,32,0,7,9,30,0,1,1,17,2,0,3,19,0,2,25,49,0,7,12,41,0,1,-7086,0,42,2,4964,44,0,0,0
10,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,31,0,0,0,0,0,0,0,0,0,2,8,2,3,2,10,0,4,25,49,0,6,12,40,0,1,-2111,0,42,1,0,43,0,0,0
11,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,31,39,4,13,3,3,0,14,1,1,0,12,0,2,4,9,0,4,23,52,3,9,9,51,1,2,-2159,0,30,0,659,30,0,0,0
12,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,29,0,0,0,0,0,0,0,0,0,2,15,0,4,0,8,0,0,22,51,3,8,9,51,0,1,-1300,0,26,0,0,26,0,0,0
13,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,46,19,4,2,0,0,2,11,0,0,1,24,0,5,4,11,1,0,25,47,3,8,11,55,0,1,-1777,0,28,0,377,28,0,0,0
14,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,53,75,8,30,0,5,0,31,1,0,1,15,3,2,3,23,2,4,16,45,3,8,2,56,1,0,-6028,0,38,2,4106,40,0,0,0
15,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,52,0,0,0,0,0,0,0,0,0,2,17,2,0,5,26,0,0,15,45,3,8,2,55,0,0,-2500,0,50,0,0,50,0,0,0
16,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,29,57,9,23,1,3,2,16,1,2,0,8,3,0,4,14,0,0,21,55,1,8,4,58,1,2,-4033,0,46,2,1711,48,0,0,0
17,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,37,0,0,0,0,0,0,0,0,0,4,5,0,8,5,13,0,2,20,55,1,6,4,58,0,2,-1261,0,25,1,0,26,0,0,0
18,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,4,24,1,12,0,1,2,8,0,0,0,2,0,0,2,0,0,0,18,65,0,7,4,55,0,1,-2283,0,33,0,633,33,0,0,0
19,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,25,48,4,27,0,1,1,13,1,1,2,11,0,2,4,6,0,0,14,62,0,5,5,37,1,2,-488,0,4,0,288,4,0,0,0
20,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,53,0,0,0,0,0,0,0,0,0,6,13,0,6,4,21,0,3,14,62,0,4,5,37,0,2,-1161,0,23,1,0,24,0,0,0
21,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,45,80,12,28,0,3,2,34,0,1,6,18,1,0,6,11,0,3,17,67,0,4,5,55,0,2,-5021,0,47,1,2660,48,0,0,0
22,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,50,0,0,0,0,0,0,0,0,0,6,21,0,6,4,12,0,1,17,66,0,3,5,55,0,2,-2150,0,43,0,0,43,0,0,0
23,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,61,27,3,10,1,4,0,9,0,0,0,26,0,0,7,27,0,1,16,65,1,7,3,56,0,2,-3102,0,43,0,952,43,0,0,0
24,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,33,18,3,6,0,1,3,5,0,0,2,15,0,2,2,9,0,3,18,44,1,7,5,48,0,0,-5216,0,55,3,2433,58,0,0,0
25,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,7,13,4,5,0,2,1,1,0,0,0,2,0,0,0,5,0,0,21,48,1,8,6,48,0,0,-1461,0,29,1,0,30,0,0,0
26,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,28,79,13,31,1,8,6,20,0,0,5,12,0,0,0,10,0,1,23,52,2,15,10,35,0,0,-817,0,6,0,517,6,0,0,0
27,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,74,0,0,0,0,0,0,0,0,0,6,39,0,5,6,18,0,0,23,51,2,15,9,35,0,0,-1300,0,26,0,0,26,0,0,0
28,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,72,44,6,14,2,7,3,11,0,1,3,11,0,9,12,36,0,1,26,56,3,18,9,37,0,1,-5139,0,66,1,1828,67,0,0,0
29,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,77,0,0,0,0,0,0,0,0,0,3,30,0,9,8,24,0,3,23,50,1,17,9,32,0,0,-4448,0,68,2,1026,70,0,0,0
30,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,77,33,3,10,1,3,1,15,0,0,4,18,10,8,8,27,0,2,22,55,1,18,8,46,0,0,-4462,0,71,1,901,72,0,0,0
31,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,67,45,10,15,0,3,6,11,0,0,4,21,1,6,6,23,4,2,19,39,0,13,10,37,0,0,-9082,0,70,2,5560,72,0,0,0
32,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,29,0,0,0,0,0,0,0,0,0,1,9,0,2,0,15,0,2,19,39,0,12,10,36,0,0,-3272,0,65,2,0,67,0,0,0
33,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,33,73,12,28,1,3,8,20,0,1,1,13,0,0,4,15,0,0,25,53,1,9,15,46,0,1,-2449,0,27,0,1099,27,0,0,0
34,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,59,0,0,0,0,0,0,0,0,0,9,16,0,4,5,23,0,2,24,53,1,8,14,46,0,1,-1500,0,30,0,0,30,0,0,0
35,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,70,34,4,16,0,2,2,10,0,0,3,28,0,7,2,28,0,2,26,59,0,8,15,41,0,1,-4252,0,53,1,1591,54,0,0,0
36,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,56,10,3,3,0,0,1,3,0,0,7,25,0,4,4,12,0,4,19,47,0,5,11,33,0,1,-6417,0,68,0,3017,68,0,0,0
37,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,41,26,4,11,0,1,2,8,0,0,3,14,0,4,0,20,0,0,23,58,0,5,13,40,0,1,-2711,0,54,1,0,55,0,0,0
38,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,25,54,8,13,0,1,5,26,0,1,5,5,2,0,2,11,0,0,19,43,0,4,10,47,0,1,-4679,0,38,0,2779,38,0,0,0
39,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,23,0,0,0,0,0,0,0,0,0,1,10,0,1,4,7,0,0,17,43,0,3,10,47,0,1,-1111,0,22,1,0,23,0,0,0
40,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,24,60,10,19,1,4,2,24,0,0,1,7,0,2,2,10,2,0,25,46,1,6,10,61,0,1,-1796,0,22,0,696,22,0,0,0
41,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,61,0,0,0,0,0,0,0,0,0,3,15,0,6,2,29,0,6,22,43,1,6,9,58,0,1,-1400,0,23,1,239,24,0,0,0
42,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,111,37,7,12,1,0,2,15,0,0,1,43,1,11,9,42,0,4,25,44,2,5,9,65,0,0,-4119,0,54,1,1408,55,0,0,0
43,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,120,17,3,5,0,1,0,7,1,0,10,37,4,2,14,51,0,2,20,36,2,4,4,46,1,0,-10477,0,102,0,5377,102,0,0,0
44,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,60,31,5,10,0,3,3,9,0,1,5,24,1,7,2,21,0,0,23,42,2,6,6,54,0,1,-5522,0,110,2,0,112,0,0,0
45,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,24,37,7,8,1,1,3,14,1,2,2,14,0,2,2,4,0,0,22,35,2,5,8,45,1,2,-5605,0,55,1,2844,56,0,0,0
46,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,13,0,0,0,0,0,0,0,0,0,2,8,0,1,1,1,0,0,22,35,2,5,8,45,0,2,-1150,0,23,0,0,23,0,0,0
47,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,4,69,13,24,0,1,6,23,2,0,0,2,0,0,2,0,0,0,28,47,1,5,12,53,2,2,-1092,0,12,1,481,13,0,0,0
48,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,40,0,0,0,0,0,0,0,0,0,0,12,1,5,3,18,0,1,25,42,1,5,12,46,0,2,-160,0,2,0,60,2,0,0,0
49,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,51,47,8,19,0,2,2,16,0,0,0,29,0,2,4,14,0,2,28,51,1,4,11,53,0,2,-3121,0,39,0,1171,39,0,0,0
50,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,52,0,0,0,0,0,0,0,0,0,2,18,0,2,3,23,0,4,21,43,0,3,8,39,0,0,-4301,0,50,0,1801,50,0,0,0
51,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.1,0.001,0.5,50,63,38,11,14,1,1,2,7,0,2,6,18,0,8,4,25,0,2,32,57,1,4,10,44,0,2,-2500,0,50,0,0,50,0,0,0
