day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53,2,11,12,47,1,2,0,0,0,0,0,0,0,0
1,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,22,53,2,11,12,47,1,2,0,0,0,0,0,0,0,0
2,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,68,4,0,1,0,0,3,0,0,0,5,20,0,8,5,27,2,1,22,54,2,11,14,46,0,1,189,2,1,0,3,0,0,0
3,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,75,25,5,6,0,2,1,11,0,0,7,34,2,6,2,22,0,2,21,57,0,6,11,51,0,0,1395,39,5,0,44,0,0,0
4,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,68,7,0,2,0,1,0,3,0,1,3,23,0,4,3,29,2,4,19,54,0,3,0,49,0,1,1339,48,1,0,49,0,0,0
5,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,70,33,8,9,2,1,4,9,0,0,6,22,0,13,7,16,0,6,22,59,2,1,4,57,0,0,700,54,0,0,54,0,0,0
6,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,152,8,1,1,0,1,3,2,0,0,15,38,4,23,17,52,0,3,15,58,0,1,3,47,0,0,1417,41,3,0,44,0,0,0
7,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,56,53,10,20,1,2,3,16,0,1,6,19,4,6,3,16,1,1,17,70,1,2,3,52,0,1,1528,121,2,0,123,0,0,0
8,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,57,0,0,0,0,0,0,0,0,0,7,18,3,4,8,15,0,2,12,65,0,0,1,51,0,0,850,39,0,0,39,0,0,0
9,True,reg_27,request_scratch,cau100_afr0_asi0_27,regional_27,50,150,1825,70,0,0.98,0.01,0.5795675264796523,0.001,0.5,50,45,34,4,13,0,2,4,11,0,0,4,22,0,2,5,8,0,4,14,74,0,2,4,56,0,0,606,44,4,0,48,0,0,0
