day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,12,0,0,0,0,0,0,0,0,0,0,2,2,2,0,6,0,0,23,57,2,2,14,45,0,5,100,0,0,0,0,0,0,0
1,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,6,6,2,3,0,0,0,1,0,0,0,4,0,0,0,2,0,0,25,60,1,0,13,46,0,5,189,8,1,0,9,0,0,0
2,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,27,0,0,0,0,0,0,0,0,0,4,7,0,5,2,6,0,3,24,59,1,0,13,46,0,5,100,4,0,0,4,0,0,0
3,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,53,5,2,1,0,0,0,1,0,1,5,20,0,5,2,18,3,0,26,60,0,0,11,47,0,6,150,24,0,0,24,0,0,0
4,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,80,0,0,0,0,0,0,0,0,0,2,25,0,5,7,39,2,0,25,59,0,0,11,47,0,6,89,51,1,0,52,0,0,0
5,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,56,10,4,3,0,0,0,3,0,0,2,6,2,8,2,34,0,2,28,62,0,0,8,47,0,5,389,72,1,0,73,0,0,0
6,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,97,0,0,0,0,0,0,0,0,0,11,43,7,8,6,19,1,2,28,61,0,0,7,47,0,4,139,53,1,0,54,0,0,0
7,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,32,15,1,10,0,0,1,3,0,0,1,15,4,4,1,6,0,1,28,66,0,0,6,48,0,2,589,85,1,0,86,0,0,0
8,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,63,0,0,0,0,0,0,0,0,0,5,23,2,6,5,20,0,2,27,66,0,0,6,47,0,2,100,30,0,0,30,0,0,0
9,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,60,7,3,3,0,0,0,1,0,0,4,19,3,9,1,20,0,4,28,69,0,0,6,45,0,2,239,58,1,0,59,0,0,0
10,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,61,2,0,1,0,1,0,0,0,0,11,21,4,2,1,18,2,2,26,69,0,1,3,44,0,0,428,51,2,0,53,0,0,0
11,True,reg_88,request_scratch,cau100_afr0_asi0_88,regional_88,50,150,1825,70,0,0.98,0.01,0.16900309612819292,0.001,0.5,50,80,15,2,7,1,2,2,1,0,0,6,33,0,5,6,28,0,2,26,74,1,2,2,44,0,0,439,52,1,0,53,0,0,0
