CREATING ENVIRONMENT
CREATING DQN
alpha: 0.001, gamma: 0.99, batch size: 50.

Episode: 0
Day 0, reward -3283.0
Day 1, reward -1750.0
Day 2, reward -2283.0
Day 3, reward -2561.0
Day 4, reward -6845.0
Day 5, reward -750.0
Day 6, reward -1651.0
Day 7, reward -1172.0
Day 8, reward -3283.0
Day 9, reward -3013.0
Day 10, reward -1611.0
Day 11, reward -2457.0
Day 12, reward -1383.0
Day 13, reward -2333.0
Day 14, reward -2671.0
Day 15, reward -4123.0
Day 16, reward -4256.0
Day 17, reward -3211.0
Day 18, reward -2959.0
Day 19, reward -711.0
Day 20, reward -720.0
Day 21, reward -2939.0
Day 22, reward -4167.0
Day 23, reward -5309.0
Day 24, reward -2407.0
Day 25, reward -2944.0
Day 26, reward -1411.0
Day 27, reward -3291.0
Day 28, reward -3055.0
Day 29, reward -7360.0
Day 30, reward -4420.0
Day 31, reward -3346.0
Day 32, reward -3721.0
Day 33, reward -997.0
Day 34, reward -2047.0
Day 35, reward -2550.0
Day 36, reward -4161.0
Day 37, reward -1811.0
Day 38, reward -3451.0
Day 39, reward -1638.0
Day 40, reward -1226.0
Day 41, reward -1486.0
Day 42, reward -2544.0
Day 43, reward -5028.0
Day 44, reward -2461.0
Day 45, reward -4612.0
Day 46, reward -2211.0
Day 47, reward -2659.0
Day 48, reward -1800.0
Day 49, reward -4389.0
Day 50, reward -2872.0
Day 51, reward -3391.0
Day 52, reward -2922.0
Day 53, reward -3584.0
Day 54, reward -1426.0
Day 55, reward -3051.0
Day 56, reward -1133.0
Day 57, reward -4762.0
Day 58, reward -2205.0
Day 59, reward -3867.0
Day 60, reward -3150.0
Day 61, reward -1918.0
Day 62, reward -1059.0
Day 63, reward -3994.0
Day 64, reward -4599.0
Day 65, reward -3522.0
Day 66, reward -5889.0
Day 67, reward -2950.0
Day 68, reward -3700.0
Day 69, reward -1050.0
Day 70, reward -3126.0
Day 71, reward -1472.0
Day 72, reward -3749.0
Day 73, reward -2096.0
Day 74, reward -2524.0
Day 75, reward -1469.0
Day 76, reward -1017.0
Day 77, reward -5436.0
Day 78, reward -2911.0
Day 79, reward -6619.0
Day 80, reward -3172.0
Day 81, reward -3548.0
Day 82, reward -1616.0
Day 83, reward -1406.0
Day 84, reward -2713.0
Day 85, reward -4395.0
Day 86, reward -3633.0
Day 87, reward -2654.0
Day 88, reward -2345.0
Day 89, reward -800.0
Day 90, reward -2679.0
Day 91, reward -3394.0
Day 92, reward -4597.0
Day 93, reward -2850.0
Day 94, reward -3715.0
Day 95, reward -1674.0
Day 96, reward -2174.0
Day 97, reward -1100.0
Day 98, reward -4064.0
Day 99, reward -2672.0
Day 100, reward -4674.0
Day 101, reward -2136.0
Day 102, reward -3066.0
Day 103, reward -1185.0
Day 104, reward -856.0
Day 105, reward -1681.0
Day 106, reward -3985.0
Day 107, reward -3289.0
Day 108, reward -3996.0
Day 109, reward -1787.0
Day 110, reward -1600.0
Day 111, reward -2318.0
Day 112, reward -250.0
Day 113, reward -4054.0
Day 114, reward -4644.0
Day 115, reward -4158.0
Day 116, reward -3017.0
Day 117, reward -1107.0
Day 118, reward -1490.0
Day 119, reward -3580.0
Day 120, reward -2283.0
Day 121, reward -4526.0
Day 122, reward -2372.0
Day 123, reward -3718.0
Day 124, reward -1556.0
Day 125, reward -3099.0
Day 126, reward -4005.0
Day 127, reward -1199.0
Day 128, reward -2198.0
Day 129, reward -2067.0
Day 130, reward -2001.0
Day 131, reward -151.0
Day 132, reward -1273.0
Day 133, reward -1128.0
Day 134, reward -2244.0
Day 135, reward -2427.0
Day 136, reward -2555.0
Day 137, reward -2331.0
Day 138, reward -567.0
Day 139, reward -1381.0
Day 140, reward -1894.0
Day 141, reward -3733.0
Day 142, reward -1435.0
Day 143, reward -5477.0
Day 144, reward -4790.0
Day 145, reward -3012.0
Day 146, reward -511.0
Day 147, reward -1773.0
Day 148, reward -2689.0
Day 149, reward -1216.0
Day 150, reward -2198.0
Day 151, reward -1160.0
Day 152, reward -386.0
Day 153, reward -259.0
Day 154, reward -1547.0
Day 155, reward -2154.0
Day 156, reward -3161.0
Day 157, reward -1468.0
Day 158, reward -1681.0
Day 159, reward -506.0
Day 160, reward -1240.0
Day 161, reward -1002.0
Day 162, reward -2775.0
Day 163, reward -644.0
Day 164, reward -2852.0
Day 165, reward -1352.0
Day 166, reward -1164.0
Day 167, reward -1013.0
Day 168, reward -2573.0
Day 169, reward -4421.0
Day 170, reward -2929.0
Day 171, reward -3058.0
Day 172, reward -1037.0
Day 173, reward -1545.0
Day 174, reward -175.0
Day 175, reward -2278.0
Day 176, reward -3131.0
Day 177, reward -4277.0
Day 178, reward -2365.0
Day 179, reward -1559.0
Day 180, reward -772.0
Day 181, reward -372.0
Day 182, reward -2214.0
Day 183, reward -1687.0
Day 184, reward -4149.0
Day 185, reward -4493.0
Day 186, reward -4127.0
Day 187, reward -1703.0
Day 188, reward -1204.0
Day 189, reward -1138.0
Day 190, reward -2508.0
Day 191, reward -3019.0
Day 192, reward -3544.0
Day 193, reward -1216.0
Day 194, reward -1570.0
Day 195, reward -979.0
Day 196, reward -379.0
Day 197, reward -912.0
Day 198, reward -3409.0
Day 199, reward -1411.0
Day 200, reward -2384.0
Day 201, reward -50.0
Day 202, reward -2323.0
Day 203, reward -3188.0
Day 204, reward -6038.0
Day 205, reward -3826.0
Day 206, reward -3217.0
Day 207, reward -2705.0
Day 208, reward -600.0
Day 209, reward -1197.0
Day 210, reward -772.0
Day 211, reward -2883.0
Day 212, reward -2295.0
Day 213, reward -5637.0
Day 214, reward -4635.0
Day 215, reward -2305.0
Day 216, reward -1120.0
Day 217, reward -1300.0
Day 218, reward -3867.0
Day 219, reward -455.0
Day 220, reward -2319.0
Day 221, reward -206.0
Day 222, reward -475.0
Day 223, reward -1664.0
Day 224, reward -2395.0
Day 225, reward -4619.0
Day 226, reward -3472.0
Day 227, reward -5247.0
Day 228, reward -3443.0
Day 229, reward -3416.0
Day 230, reward -461.0
Day 231, reward -2189.0
Day 232, reward -2632.0
Day 233, reward -3309.0
Day 234, reward -4830.0
Day 235, reward -1933.0
Day 236, reward -1210.0
Day 237, reward -1061.0
Day 238, reward -3512.0
Day 239, reward -1916.0
Day 240, reward -4322.0
Day 241, reward -3872.0
Day 242, reward -1663.0
Day 243, reward -1411.0
Day 244, reward -690.0
Day 245, reward -1339.0
Day 246, reward -5720.0
Day 247, reward -1901.0
Day 248, reward -1773.0
